"Country","USA","Germany","Netherlands","France","China","UK","Italy","Spain","Brazil","Japan","Canada","Belgium","Russia","Mexico","Argentina","Indonesia","Australia","Malaysia","Thailand","Poland","Other"
"USA",0,1369330513,2205948137,3397090970,5631823781,1991218772,3182870392,1251082078,3153907081,717331551,18877561411,458459746,437703179,14675028201,1126716316,2145505903,2269478629,1664286914,3678889856,330189707,27693019056
"Germany",2187354042,0,18079460416,7842160939,2061610204,1769286344,7173552837,4815401748,4077633277,139208397,433748743,4498008881,236666466,180855390,1152529314,1089701777,171515124,194048350,463784656,3920973817,28221779354
"Netherlands",1677234235,8337799186,0,4164753250,939327167,1608760926,1098872849,1630077961,3431685237,63285578,226084701,5650623350,99756159,139036038,1571705683,980721650,166459569,843748508,414302789,940805400,12675341240
"France",1010169491,6010150464,7109834687,0,689409484,2831903057,4163419739,6917229700,1684850282,66717860,232360001,6499731113,124124244,105920153,582572101,229512880,74892072,80946850,452349339,869213020,13112602196
"China",15676736413,253451173,519714418,1376972521,0,184498582,209163786,235696933,10546551238,563999066,2847282786,73129062,1379291775,57289507,5644898900,2898946598,1632224075,3411543153,2343402336,38353898,10654807329
"United.Kingdom",1742256476,4837343960,8341278646,6420255650,885614154,0,3172665991,3260847386,1889824141,52847515,528879713,2894891029,169212061,177191719,858315370,351418849,1013943353,185599783,1229795678,1354079438,19396735467
"Italy",758031915,7223922103,4822582767,7261712173,466401151,832028559,0,4721482829,1080280697,17493949,406958976,1406925316,214718540,154646986,1247563363,694945318,112161732,156365694,351316021,1023822101,13713234685
"Spain",1373000392,3016652326,2699672732,5226488480,788181835,1891356206,1413085299,0,1772357058,11552840,167655748,917336422,68358804,198240609,1533843252,476374583,21338991,70339910,184046518,339295049,11572015678
"Brazil",472210514,166278741,153733107,187757861,470281889,119688144,141902319,153084483,0,10814830,149365477,106176410,6433454,43481584,3028870082,328686672,10868253,99675441,23381910,5060544,3068514522
"Japan",15793299066,1273848167,1853087315,1616629773,8655190065,316356340,770818128,427003626,2635747345,0,3930455498,174820804,1204572252,715938391,606458245,1114511260,4347036679,1018455803,3762728858,78270956,14903425570
"Canada",16817723329,278101472,301440497,719972398,937985129,417366642,785786635,194945823,789695996,71365786,0,168302441,37308036,1193385561,236874040,92380542,389265379,150638719,572316722,54612844,4643318161
"Belgium",514454437,3653330217,8361573388,7783340506,283924795,944643639,1063043000,1103223327,962315783,6537540,396112112,0,39534544,83467112,222059003,160996960,189532638,25620360,116470451,371908683,7522339392
"Russian.Federation",1367430703,2152083571,1740466805,1316150213,1332503692,416932833,961909930,1009981180,3841937540,84277858,396337206,574737949,0,61911814,796604842,498655434,256046095,374022458,216247505,1026973946,15155422221
"Mexico",14681006043,59189307,136117134,148776566,357667518,138574318,92188378,238761182,143926098,10159911,1589132235,18309495,1790296,0,135825623,49390063,47693864,56387093,39972805,17792652,2301935494
"Argentina",115384880,15776946,21323952,22406262,46538084,22000576,26489717,25906575,609969786,1228470,9248556,2981439,150710,34405153,0,16660916,11043109,27785785,36751073,1592282,567958921
"Indonesia",1974886452,56096275,175611535,126550653,1385767379,18350126,14955675,9658048,730598160,47143469,320761341,78888825,19200478,15027073,891288907,0,2013654006,498517386,1041592413,2680910,2371556077
"Australia",1177361647,234817991,239238995,337877582,758095705,356582696,451782605,172864885,144927141,68034181,231190165,78744173,6180768,142295872,200116051,195918347,0,434630534,733229819,34941922,4813161425
"Malaysia",790140508,106105818,198699410,181714450,1228433075,132800525,37601451,20763488,709120631,82564072,170764208,45078964,12540026,10937299,959135982,3024823840,910811164,0,998046158,10811764,3344739368
"Thailand",1099299004,124200358,128064372,165743832,792126363,200426376,72611363,59181646,1148968622,248846619,112124658,39489649,50455633,9964452,444730635,406628052,448810884,333121890,0,14729927,2468495335
"Poland",325224280,3071126878,1223824592,540153395,406295325,403835554,633738700,769308777,308944448,2704715,20193240,344038325,58449765,9852830,595353325,38871563,6357608,48401037,58730368,0,5227674167
"Other",31590654590,25174783398,17552036400,17346395421,10165764872,10424187112,10799377997,11741240705,21732233337,1161858671,6677530355,5753306870,6251451068,1586723155,14828651387,10305485842,9665504102,10010785185,6730481128,6894449800,134101124550
