"Country","China","USA","Germany","Japan","India","UK","Italy","Korea","Australia","France","Belgium","Canada","Switzerland","UAE","Brazil","Russia","Netherlands","Spain","Mexico","South.Africa","Other"
"China",0,9597871234,6138431094,22987881031,14485365619,1617079525,1205154059,10191374277,45019686458,1597579353,2723070921,2815162605,1022391616,238083758,19579988245,4371994635,886959931,2903594204,2050279013,9941823363,62016230759
"USA",25181872417,0,6415203664,5919565409,9219285003,3037367109,3257629891,3545378948,2410430613,2098287222,3602076349,31012357739,1816517827,430574110,3434590585,3990070556,757625986,903862191,16893160495,4881206522,33438378682
"Germany",6851000965,3674498086,0,1278792500,1025570577,4971686275,10046826934,581415053,928509968,9691026358,8290742821,1567276909,7554650301,251767225,3943185106,5088016981,8777646296,3816943117,223741125,2697307443,48833102596
"Japan",11476402997,4246436171,953505774,0,1485421591,737999494,350532165,5825135961,13130519796,702419779,282201021,1590850400,322209092,376400607,6211770214,2041822963,74203766,408706903,667536191,6018449606,23336784398
"India",5307708018,3454946310,1438202699,1693506765,0,2433397831,677521841,1944230584,5846689664,437054873,6304751344,284640264,20324215556,21208507429,668874090,1514756733,424361473,272042388,85944219,4986438335,11204468585
"United.Kingdom",4971643719,9006177199,7957866539,3099866741,1179547463,0,2306400680,509537009,4399209680,3431036655,2443449567,10087347361,7103444662,277332695,1933747370,3761404881,2088264023,1722330453,645335399,7665582787,12960930046
"Italy",3938223221,1663772755,9115035996,280798997,784302802,1347824543,0,638595587,156717899,5305533383,1925792820,362952143,3292680256,195268359,1544263338,2181316108,2381278133,3203224207,130552940,1773723735,20769758926
"Rep..of.Korea",14030939375,4306207715,1285114820,16135982156,1034971591,565604064,333404537,0,8483368979,513223477,165420790,763154496,157952534,349995850,2986002864,1760697664,374240954,240386808,775161466,1750336073,13704798019
"Australia",4107463611,1669923802,574593975,914133931,461183470,599555733,415462547,575394845,0,182247539,107991988,211673796,207374468,59866538,241291698,14794632,75334508,121282945,91717913,190673273,9139549106
"France",3269753005,1522773665,11773421653,466904395,386437369,2644619853,7736896406,147516256,153398722,0,7416158929,795969840,1314236448,66340098,1270245208,654218083,1891135512,5164165095,52806983,301719540,10775370947
"Belgium",2736521868,1792377170,7218026023,357666583,2567068404,4710396401,1257607414,200421587,676564630,5694095538,0,860049820,642847833,1826678725,901761724,3512431048,6658595923,820655674,153866528,1005206999,10974385336
"Canada",4412868379,24585357825,844224549,774754179,452165017,1267650713,534312099,423947478,531536143,291909691,173861245,0,193328689,21399476,430108671,138124335,98698907,249069059,1275943250,287773158,9167958385
"Switzerland",409831799,1807292346,7751981688,1043185498,158793920,1205412997,3123850418,27086944,126362305,2296753518,794061634,137397431,0,636095509,209708984,487365114,451918238,1035716422,9773879,599862003,7100167922
"United.Arab.Emirates",2524534122,898510290,677521086,677544375,18279684387,1113301785,1232457732,783601458,184886368,464522998,1106024223,88804741,1944873729,0,378947666,602500904,152910964,223707264,86199503,261161364,17147606832
"Brazil",2995236128,1470089710,950878972,654021801,239391563,273901992,522882658,636918529,151984234,365105302,182046601,144224969,84502485,31750658,0,505265533,61237943,351956848,583172374,333703660,6213267689
"Russian.Federation",4417472642,526604694,2349474876,528957606,168716525,271416011,996286952,457248270,15631721,495103972,249425728,78237679,84981662,6187284,79397693,0,137165753,303278471,16407083,127015168,7227986445
"Netherlands",2527236396,814627992,9583462497,360241908,255442525,1278377986,935979600,147184213,141646475,1234109235,4055374663,382000428,134167815,98824141,947763034,1504840528,0,467092255,116039248,249902138,10019200339
"Spain",2451954743,647688561,3584141078,172441948,266730047,1510155117,3084597002,193050695,246946971,4142689201,833278022,304729040,194833006,47065196,957778410,737714091,1165386319,0,58636854,351657529,10306930069
"Mexico",2215636835,16166644702,1042066508,1586686613,280544956,132847066,792200908,943073403,133388312,249388141,102874553,1271104082,68824805,45726148,471419240,75985060,163377415,375239765,0,159954187,2507782526
"South.Africa",1211564956,295690318,648688372,212451997,280255396,140519128,182462439,110039640,108058032,175028512,116257666,88402545,46850640,85481813,134667733,35933472,54333068,83113594,6691337,0,1419410572
"Other",46170276038,19326979904,48250560717,29517528053,11046017367,11445078489,21304666321,15203856776,8012367334,13190381524,10302183382,4322837743,16313876562,13772241349,11858859067,22119511302,7778003753,11921029658,3108540778,6416075111,150727286147
