"Country","USA","Germany","China","France","Belgium","UK","Japan","Netherlands","Italy","Switzerland","Ireland","Spain","Korea","Canada","India","Singapore","Mexico","Russia","Brazil","Thailand","Other"
"USA",0,16050794594,22154640120,9528513728,5133294404,13541192548,12042911589,3168740234,4284351049,7476793948,25390342641,1901682702,4066298747,29956758492,5339846737,4851763337,6927339289,2150861971,2181841170,2460349132,30393076037
"Germany",16247704251,0,5837784710,15323667012,14938430684,10922959865,3338587643,17850777567,9619089080,13349847370,11565965033,6740269118,773701337,700048365,1351581663,2000384423,341268178,1101858697,727374939,568121403,32370967014
"China",18159170511,8843015318,0,2773356534,2431641541,1699412025,26298043467,1583433491,1960508029,1381805215,614357634,1236589882,23939880320,1602341907,1520645281,5432949986,488111420,3382562679,492745446,9029960219,31983002281
"France",9879955953,19758187461,3340554657,0,9982808954,5985934007,1758138526,6226435089,6867594579,4102608205,4496567653,5492602262,294743556,579051635,533876746,2386444870,143221711,996400441,230636886,309584915,14075551604
"Belgium",10705898168,23116707471,1773202757,10836472705,0,5359806612,1691400830,12271984783,3799061864,1152881752,17802705251,1791234222,272038134,316405990,496149817,3516482776,434965384,659958035,340571916,193343949,10050955932
"United.Kingdom",8630954766,13108583726,3601194923,7687689203,7203175160,0,1094893793,8791379143,3228905239,2868582927,7672051084,2471321283,393101842,1249175576,1043014223,2050923218,161396410,561221539,338001522,349178611,10228356305
"Japan",13878728082,5799317868,12398952731,3980337775,1367080646,2574609468,0,495669249,1917272692,3374019003,2215339498,1222484886,3643987308,722120428,508844994,1749384409,202288515,144840741,261262065,3552008142,8946294126
"Netherlands",11987737804,17724849016,2241399292,3338813796,7737380978,5652679618,1323922126,0,1724279149,1185875110,940834566,3179053338,286802265,450801207,399137319,1210336872,128179317,127912837,473595153,318690986,7943389588
"Italy",3745626886,14995444425,2471393818,8651677589,7839477498,3358904903,1195333433,5786538458,0,6251989758,2495958350,3938998960,456480699,110192080,700067761,77800136,156091970,565795278,205245455,292435685,11390781648
"Switzerland",3317874210,11350024573,835642494,2727305063,1475440872,2641191518,716817003,1603426364,4928872557,0,4681743298,1786741795,108103853,163334874,394295831,74912782,286165702,441705897,102846454,44739028,3748093399
"Ireland",1786569223,921976368,294932900,1003428564,742509230,3089871069,489690392,1010825282,268073672,930757025,0,201623495,49588525,119038112,105833947,24746035,11666971,120012648,16280978,7167577,1212708481
"Spain",4153700450,8765394649,2017287265,6275486745,2913725359,3926728760,498748009,3323324635,3717933433,1740823346,2243632464,0,306848029,106259193,540163377,319150711,170044415,162056159,277579711,259031626,8416400326
"Rep..of.Korea",6061142394,2652396757,6600045823,1123161544,556887059,809941851,15395686903,468213309,687075162,510017945,167676882,246648408,0,399589949,485492279,1168521926,43623511,295489315,93835735,915390679,5185098553
"Canada",31412813017,2220347498,2796536128,1616166847,385196525,1494864939,899577027,372880344,680417202,1653067451,991986894,490183108,349367712,0,467879648,251289607,524283047,194194922,845728830,221433294,4405945174
"India",3970086275,1928975517,7710854680,561410986,495808572,516590551,1269621358,492747435,577248672,772162767,58772431,379956897,2088419223,398179396,0,1432442538,108489632,1189577313,141828845,1231856940,11604074528
"Singapore",4531619990,1225476375,1683741233,1825965548,278260724,543830077,2065755161,379873505,327369017,711242898,331482058,202108539,803536461,129473769,474874106,0,46895471,14765961,64030957,624715096,6089021220
"Mexico",27515747317,2185185496,2751113365,987633577,360475233,649212282,1008083782,213662191,639531759,565935025,627067562,559856216,726788405,1188843697,433650584,134340878,0,216363389,544275713,130087623,2837781919
"Russian.Federation",1953848021,6176245032,2810077351,3277363208,1201939693,1215799553,771098421,1163322937,1749306097,1181874228,452925681,575589644,917997597,114861863,819387066,31391510,28014386,0,24156481,129871647,10513370805
"Brazil",8091127311,3925541875,2894202658,1645694469,723530988,1193503046,896933855,494599741,897797669,1361731438,340418858,935861600,678319134,1058094256,858637720,99171815,775085311,953999435,0,481075139,8601841663
"Thailand",2075069531,1120385810,3240944358,521441768,281744791,307821489,5069151924,206687282,284809868,317270566,110658863,160772370,1363537959,171326921,420438483,1563516185,32157562,267828428,58254874,0,4975166861
"Other",43178782337,69902484142,36478195393,30287490718,18968824625,18579413052,14527630025,17522047552,21524814713,15400419938,7178940780,14230949546,12235211247,2907229010,13059493144,10500004043,4928021732,11344524949,9123989761,9615276991,134324824279
