"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Netherlands","Belgium","India","Turkey","Korea","Viet.Nam","Indonesia","Austria","Sweden","Russia","Poland","Other"
"China",0,9943829970,1219082446,2352740953,980846873,1079010765,5951228849,3630080502,495544968,568227627,328272040,2784938308,295694866,3706508649,1272367281,1888849954,222418720,606167060,3552466483,27350422,19093515784
"USA",70501781262,0,1748116674,3505575128,1209465262,870879041,1180194025,18819948749,485451122,438689557,246147504,6297794843,908515983,1686641943,8230883626,6151411775,245022460,243159654,120221999,92346128,41622537637
"Germany",18098219122,1576215744,0,6810110467,3890560319,2032317536,328872787,287412595,1373794275,4444855474,2450169276,2713734387,5155090694,283044532,1828010791,1363631269,4346394490,4063010791,522525001,3892238917,27576752447
"Italy",10254936152,1325167131,4563157972,0,3899627831,1141786871,208333613,389511173,2178034340,1413759841,1772523104,1528609888,1590630017,236343695,517776973,583645654,2500185665,1058118563,298388316,535862952,17388738746
"France",12242069049,624010472,5684601508,7057390880,0,1434161586,243004907,223310977,2770435404,1272494545,3470151795,1780444968,1713361281,169440964,1009338418,629663628,680955594,999523265,152733331,740716029,13923531300
"United.Kingdom",16774401519,1980046000,4372983860,3218231799,2236480565,0,147909406,419947393,1120685360,2240627256,2264370476,3381769192,2730821895,189224781,1262206765,950258821,461463900,2202785771,177526231,478338610,14556375070
"Japan",35979892979,2918967214,437224651,2017785393,1033091271,271256547,0,1665596099,230881775,108245527,57731177,417421286,133029149,968890439,2119210895,2179262261,296117407,413579122,514763788,21421994,8429665070
"Canada",8472971064,12366464301,288476760,479123988,292930683,199111093,92391929,0,91052221,126975260,61670104,531307815,153397540,175918075,503102565,348969158,107674327,41555490,28085786,76415973,3417801798
"Spain",7172510517,475527313,1662498944,2888964408,2441486805,580659534,42926500,81206856,0,702552245,623556795,1314139275,1663140921,116576677,842657631,391980949,232845811,532424278,23069568,162623353,8855371218
"Netherlands",4962956291,870999687,4843969859,1153715933,735925048,941375478,154831251,184105555,636314728,0,2666869032,657729872,876156930,83787271,435182324,414351841,331456815,947622503,111324818,550692592,4677220008
"Belgium",4188962658,652266733,3682725741,1186094243,3608942620,682491189,61922799,143351696,523376377,3416865327,0,563652723,796138090,73038262,671692802,610954398,273378905,502081250,115977841,338514526,5102207229
"India",2360338453,795717833,348299384,261200274,123276420,293238038,137801897,350752897,68813261,94033374,77397830,0,54676478,298376943,66177431,345621447,55557068,171088875,186508264,10818955,3502946753
"Turkey",3424483505,1454400182,1134053591,1043470512,258075123,209066791,78094068,112843800,397939092,95856712,89242831,1017130541,0,349444360,454796487,733849235,271659997,260749363,335647889,88321941,6120372288
"Rep..of.Korea",7708541895,2041158592,207407363,841575595,412016982,132777945,935394248,667158978,78305319,52311005,22719467,463530489,64728440,0,1135239920,1175198249,93757545,57973388,222605899,6456773,3532287179
"Viet.Nam",3473076560,695006220,80369010,142472540,40926110,29312250,732522420,21329710,18503520,13061390,8996790,294520600,12750200,1765785960,0,424595650,12470990,16518560,19838480,10739140,2307233410
"Indonesia",2152999835,641279735,167130146,135218817,102964300,110215158,384330986,267850025,34174332,71897182,51474101,248946561,34049236,1162985808,171129114,0,42239542,85950288,49117138,2629930,2799165079
"Austria",1801279168,98500309,5939188399,1352213082,253208369,165514107,28153622,13249249,191682559,273928868,194096892,272015841,426535313,16110443,225498135,120589733,0,398980006,57499768,221638983,4514699944
"Sweden",1858658729,183540784,1232623932,343428887,154754195,339198356,13439279,18103058,109003195,481170110,270167952,282080417,315571691,29114795,127457975,49786195,93022423,0,111585309,477758359,4408354681
"Russian.Federation",8332752898,245210635,1263419336,1237599868,248351707,225754356,112990868,40906636,146664182,144473987,200292609,215653719,1186360593,233072666,258436643,167563806,217723364,254021123,0,700732134,4462723013
"Poland",3041854078,214324865,3251995941,1025309603,455427243,403018543,40873474,11169283,223001571,442640616,369882995,391106473,679754719,86386496,182572219,156598761,418302174,519231544,176422545,0,3699312136
"Other",63128821832,24052222607,22090286909,17948949889,8193683029,7013998467,2730101469,2303089304,8884815842,3740881341,3707751745,10639433709,7021386257,4257455366,3384882749,6021712833,5380032773,7512883423,4000710924,4084686020,69024623251
