"Country","USA","China","Germany","Japan","France","Korea","UK","Mexico","Italy","Canada","Netherlands","Singapore","Malaysia","Spain","Belgium","Thailand","Switzerland","Poland","Czech.Rep.","Sweden","Other"
"USA",0,240966316815,56548568726,100053357912,20832824895,36719089843,22336195703,150877136016,12774684142,93863848082,9275530213,11932143676,21025177533,2614919786,3763838628,12163612408,9042436058,1791489240,1575689293,6140410112,70324285515
"China",47713626553,0,57664990122,118609465343,10338869132,92242119010,6548068136,3517950637,8260179925,2884350741,2473583355,13601090827,33876975850,1292034641,2121369340,18106163374,14533936829,609614524,1251349700,3280416157,45832439786
"Germany",34073214081,68346993494,0,24016069131,42969469840,13005013991,21870003042,4080669860,23594996649,1868169964,18085654145,3921722364,5864634337,12572529159,9845841614,2905905410,18280451041,17807675879,24707146865,5345863988,96956493278
"Japan",30180140356,82871705475,10805250407,0,2952342750,12552480989,2484478528,1853000908,1700840839,1093984041,1334424594,4835094299,8136924063,306727136,456586922,10475586510,2480464688,357068935,334779446,1002435834,19019044427
"France",19929264064,29278560202,56780327124,9142292500,0,3442111340,10259376250,889584268,18096164537,1435905915,5515049205,1056785174,1924745618,15815886361,7415888532,1210539122,7161952421,5144180885,5204226295,3264779818,33859907913
"Rep..of.Korea",21156844188,38258120498,9957469526,30153095154,1961697766,0,1483559883,618475661,1636268588,650501530,2970021348,5787464219,2970290352,218231071,280310497,1904046754,1272650769,170267618,237566717,920133817,11287967526
"United.Kingdom",33879724897,35446695590,45439315885,11993522591,15801987054,3277863911,0,1310485399,10213552017,6513597961,14847269603,1956867932,2082487121,7062774109,10621246339,1890657813,2887256363,5167536484,4825640370,2941126462,34277959603
"Mexico",59839290013,38491729919,7495939140,12208042302,1412341876,10648503957,943848422,0,1939554100,3939061057,283080783,1270177963,4868595706,1342002068,220034529,2312995447,791911282,234602007,332433614,517911955,11531733802
"Italy",5714008210,20992208918,40157398875,3934162597,14991524283,2428270060,6238982221,281873675,0,548818007,11090577810,132641060,533394701,7771011063,4462296312,684545887,2580289248,6151561045,3243438154,1886459688,22543942851
"Canada",100263501254,26499342309,7277899408,11096304862,2258781807,4632161737,3546581975,17098292759,1860222944,0,409577126,665921754,1782793901,234517281,492227663,1167734973,810026450,551279743,148569011,991023759,7480115721
"Netherlands",14256001153,30147538458,24110377895,10008001545,5031946658,1630022280,6747852247,1611539734,2538048041,633584965,0,1811058679,5743318463,2054448640,8649866626,2710945547,1088135447,2623320173,4792698395,2842586446,18290859594
"Singapore",25313831101,23100716563,6715790430,15409617321,4044919434,11903906050,3620272495,970098613,1715270319,728713788,1615776096,0,19629826903,221464610,397967433,5462921520,1802485988,93391132,101520706,794804247,27383247983
"Malaysia",13205097794,13645922184,5138058952,13317689983,1322563095,5876929664,1023712880,224276154,983604237,310383742,505768163,8830128683,0,124319058,177841392,5655008214,503249338,25526815,58820838,462347274,8806571344
"Spain",4514850300,12554536877,19872004145,3764262061,15292119314,1441212871,5528911320,477054944,7602768803,391687272,5167910342,201164230,425942251,0,2352035150,642724808,1258602466,2736935719,2275377927,1245124464,18379969099
"Belgium",7707968536,7659512568,23637209235,7099031343,13848271839,1552990181,6088017053,765614156,4366487117,394791105,12607754381,246479940,328781854,3231401152,0,604086360,1790521470,1936424023,2012021363,4435656976,12683105080
"Thailand",5396890503,14243918069,2576736300,21953754537,549945751,3013356985,974895366,247430808,717657759,229324820,421654992,3543004951,5541876142,140218719,100690441,0,604783376,80647235,86999560,272883539,5738593593
"Switzerland",3901790956,3418757129,23286009847,1727456899,5005220579,266777492,2527522614,133761504,5047967840,502037851,3604088637,302339106,257503078,985110318,1578650309,483379502,0,670904858,1438018375,657045631,7298700243
"Poland",2321733350,10917686940,15378756345,3017125188,2765793234,4181200951,1781041793,218804575,4803430759,395109561,2438244122,623599288,556759289,1353890441,1082319933,561067501,670066953,0,2381604745,1203573708,14542259635
"Czech.Rep.",1904690989,12809282541,15816038129,2553207268,1820248621,1812274947,1159931448,223275989,1983223662,70799572,2259498495,1004638183,789960001,1097386210,469126445,1355857360,635307766,2694718665,0,465467125,9039353245
"Sweden",3132653571,4363679589,16692793746,1806414939,3021031111,1998897618,3945617110,100239663,2428398960,267292690,4488057361,119514755,298727061,683068425,2921283134,404689982,522923627,2544125343,1306668862,0,15394938214
"Other",158440566728,245598161622,191455996945,115141865957,59329422012,71592108464,44729477665,15928662976,64672002098,9480736635,25275152484,23277552642,17104995007,26697485493,17210650430,31128805722,15827489281,16720443520,17514885458,28539604196,247859858323
