"Country","USA","Russia","Japan","China","Saudi Arabia","Korea","Netherlands","India","Canada","Germany","Singapore","UK","Italy","France","Belgium","UAE","Australia","Nigeria","Norway","Iran","Other"
"USA",0,18475401650,638595935,487501654,30495537209,2415563765,3202446504,2324110054,83994352246,307074912,128551448,7987462009,1503029484,1270731011,2329149491,78603420,269162843,30410498255,3092660987,0,164380547125
"Russian.Federation",202313255,0,33871653,157034814,0,65429902,63804612,4484385,9348790,186389260,12796680,59934717,20083555,11255072,67637169,48826,18698,0,890862,801258,1742212644
"Japan",2097121658,12204458655,0,1821089525,35449821879,3792162195,104657582,2040015209,1939474195,22381456,549567992,3269111,38447444,15784000,9780090,28897444730,25818986331,449536995,176648730,11062422977,71358972273
"China",1642949854,12848398174,2325466388,0,25868001667,7841632612,447201307,339139943,1142742840,132301922,4634355299,177124043,18492310,48940681,161981944,3537412099,8042904788,927639590,108696269,13085976641,97900811231
"Saudi.Arabia",45309123,0,3210404,7656276,0,9109078,5525607,23710963,342934,10438413,1383202,9741346,523734,8520544,12638149,29574437,450667,0,0,5410140,64458746
"Rep..of.Korea",1689985880,6570752846,1122824762,1904123008,25968698372,0,98015634,3106284234,1361888316,44558227,459232949,2123454,82020308,5684582,30448477,11771122887,9037635033,537944906,139097369,6447717151,51934289449
"Netherlands",1905259863,16680388373,162038129,81419447,2564971758,344117907,0,1578846275,326399005,3552375283,75417691,10805081661,327784434,2376244575,8226860168,487535611,113452675,2402956168,8649154690,1224421841,17016037268
"India",1056575076,467253144,113422721,637557813,17948861044,693316980,324127158,0,1577335,34221674,2359504260,83659168,20649273,23095972,29552638,8620759468,5175659625,10135266090,170686351,9530315036,51924154487
"Canada",12101628917,1155774368,119793113,120456884,1908331742,327573015,311081059,49244822,0,52141435,106616878,3479579777,188472290,97929312,388627874,104009682,63359,1576096570,2321138606,84520,15137909270
"Germany",1834641717,23750854571,130840578,181524443,404870760,51568872,16189004979,141687212,463079833,0,31579376,9035213761,429346234,1956968742,4138212527,8047203,889381537,2337708491,5239954636,789332043,26026707971
"Singapore",3230849494,3064685375,3538292442,3875010005,8864742467,4202181173,2916443233,6383309416,12376152,9154968,0,317793425,113615008,163042104,21437401,5660321374,1210990892,73,71820,2142885413,30095984290
"United.Kingdom",1372396147,4595100764,74565665,54121622,292225785,117040215,5979928780,944217771,282762120,835626219,366298972,0,46672073,1650003186,1116658989,516255532,622506235,1155110058,27003419932,228531670,16038547720
"Italy",1517009528,16031171312,45752944,9904033,3384492522,158694069,931049919,565314467,164705296,2011545597,41599042,311882429,0,2390975810,275488645,92634015,519491822,499330820,1592071721,5842041729,53199544931
"France",2268382026,14095489454,42280049,52335114,3265583056,117005112,3173451836,1358349632,79099135,3427199730,561058292,2818022664,1040590503,0,12208553052,757810697,892408858,3258092788,4699137573,1052392545,27379821750
"Belgium",1259314900,3844312031,4197390,108172986,127290569,84881820,29447705562,641516209,47641844,1530641188,42261833,4085561213,139529067,1363930865,0,69311115,284494884,58906415,4072907920,22038,6909162687
"United.Arab.Emirates",34832122,6918750,10197140,53036120,216056881,59224587,30876332,66140678,1486058,25548693,11195169,16273091,56112494,62560487,11423373,0,232605,149359,115380,317010079,700260210
"Australia",312845816,250435964,1072518243,158104028,147947169,1205191487,11142610,13801487,4123622,11095240,5959625601,32478781,1052559,4348118,4140641,1931063079,0,762863246,1083783,145934990,12694699887
"Nigeria",114223654,13934111,924245,12771239,82,3802134,4124003,67681889,0,643541,110939,33672174,24673992,82670053,16913860,69481840,2326083,0,32557,0,152891623
"Norway",103869200,809904734,704262,2390705,0,1743954,256451763,33905,351972,56625875,0,666990675,1022439,108155441,191403415,87282,8713954,0,0,0,2846487849
"Iran",96773,50190267,762763,28227299,26137728,17327621,1548211,113007724,101561,34087264,671393025,9262108,4395135,5491704,454586,182669809,0,0,0,0,325649376
"Other",44202125270,131735043375,2464142606,3980826985,35123496146,7981391725,9025555488,9711378386,1742670700,15863400039,25616444199,11053363903,12670573573,5359782057,3880530318,21929095256,6362396568,22286246216,11848233846,19097735319,206081346458
