"Country","USA","China","Germany","Japan","France","UK","Italy","Korea","Netherlands","Canada","Belgium","Russia","Mexico","India","Spain","Singapore","Switzerland","Brazil","Australia","Saudi Arabia","Other"
"USA",0,399320294921,98668987726,128927833546,40067643282,51163383940,33969137813,56660929907,23448207146,313735915239,17426301850,34618569013,262828246710,36154419998,11017572125,19115843216,24549578595,31736514451,10045091326,47476293451,513534022574
"China",123124009886,0,92726219513,194567856305,22078792507,14556660582,17578443451,162716842973,8660906830,22167123339,10130949088,40362599801,9377587115,23372278613,7551575841,28139648591,27287231594,52386750280,82667477335,49467519877,475418737207
"Germany",68947712965,112184062340,0,34802780677,91870295453,60791334891,66769029403,13470258762,103256007527,7111619769,51419006530,41648202117,6052116324,10594423052,31337603865,6746744266,52473348693,15433076822,3820133184,1270053438,419102943658
"Japan",76266742317,183882189764,23310707782,0,11853276342,7266676362,8683257446,39811376851,5716917993,12955021725,3358648252,19012310705,3979360294,6822962236,3391419033,8677248099,7846582871,12672695751,56688392610,50558156681,284965260112
"France",39589908109,56189433128,118607820835,12995887182,0,30586201830,50745042204,4912547708,30107760145,4153936909,54401746219,19348521410,1507282640,6531106826,41946532236,5327173052,16081472214,5639145978,1563425272,6340450907,178381571692
"United.Kingdom",61939374995,66039713605,87752114011,19936131570,39439262920,0,24099654445,4755951803,46667069644,20140130555,31013858681,12368545058,2820902127,10805060797,18889338521,4790346649,12967878152,6381174255,8121215386,1395132224,215167609098
"Italy",18111526389,41131342221,86732501960,5868619346,46518100102,15184398385,0,4530990931,29233314297,2294309665,20245834488,23517090195,1379311513,6640843075,25167152858,394758862,15697768821,5772623009,1552360306,9770364635,191652125672
"Rep..of.Korea",44814717937,86430974227,16962473859,68319876555,6319790184,3816533790,4373923719,0,4425442331,6611056011,1450329882,10852170996,2315689805,7893572539,1161697092,8966595391,2563766499,6342933739,26316082833,36972611896,159991022653
"Netherlands",32157002451,42497105196,83843130045,13646285108,23091454869,32335912774,10801856153,2695476611,0,2727509366,49988063681,22656060785,1991080960,4995015712,8966819603,3664880073,2619205507,7752610560,1271474106,5341526171,133123286643
"Canada",223172493267,48653536122,12921002189,13193768098,5605036000,10435665475,5157085820,6674642442,2590129147,0,1684206434,1298773718,24813962887,2560390828,1766054834,1571769069,3196280947,3919262848,1785174187,2765289956,67342071545
"Belgium",26755546931,20510553645,69067362346,9105866045,49422496690,27704184332,13464649300,2212957492,91279404584,2635066350,0,12387444012,1954738446,7463690120,9074018655,4027774700,5325937942,3753272315,1909053620,1753595853,103711807968
"Russian.Federation",12881409591,48038378333,37436682172,15012610609,9825079332,7162774780,13292795457,11575681808,5921156033,1683606917,4121074712,0,837381003,2760554170,4294419941,384256339,2966267388,4377977654,1009572849,208880150,113191460125
"Mexico",174878466067,52247992107,12862638929,16493498614,3364570502,2141900160,4982748820,13663756004,3061135683,9645449380,877673686,1149135877,0,2384912507,3843218358,1184928555,1568666994,4561902243,984190298,778205385,33875054789
"India",22573883433,55483025358,14901182442,11218263431,3898179093,7453928693,5203652454,12362468594,2193300547,2297102024,10349754176,4050976231,2168579062,0,1711531852,8155302036,31367450302,3735150790,13416619052,28423659329,200489127786
"Spain",14695914330,25932836290,42764107806,4449849080,39334044708,14675996776,23784557987,2373954370,14611029431,1520030234,8936054437,11772553715,5204351987,3905610589,0,584361382,4041319298,5018336060,1178131401,8089377445,123702061670
"Singapore",39508657129,37995259663,10409080750,26230745328,8490571066,6047307272,3561574199,21738209697,6972117947,1171192648,1244620240,3303492597,1801033997,14141217449,806190522,0,4279876994,1918252198,3744249652,17636593907,123603078952
"Switzerland",10341493185,7119261428,67154717594,4675766996,17937075133,7178298060,21661881013,556280026,9057906251,611677586,6426319065,1005836567,620449248,1471543709,5871366786,751408406,0,1040062340,549247372,184583969,40880847211
"Brazil",34233525684,32788424507,15212859089,7871808824,5471312956,3375566076,6222456796,10096972279,2265388637,3553312271,1851352765,2944185225,5130201411,6080997228,3298156794,826872772,2845870700,0,1957770769,3093032560,71102619308
"Australia",26418759058,42712160820,10859698384,18213907699,3844100177,6927128229,5094649926,7052745071,1561538536,1822252464,1698091864,1021105534,1835215419,2287066916,1854350858,13999135111,3065118520,846315859,0,298413119,63551229366
"Saudi.Arabia",16341892158,17176499069,8973801088,8238943098,3891335532,3648885093,4540638477,7705938969,1427466048,1577095306,1159709453,1216071653,679638981,4231442359,1413759903,647548545,3228721903,3773446853,1725990427,0,34430740902
"Other",306747734256,431182258432,450807457729,179523318592,141402032163,117935535927,157844993674,117635476223,99724884039,27979212997,74328938463,242886165810,30929035389,104897915143,86536577793,94207604614,67120186553,88306014595,42819299035,65210291049,1299600927627
