"Country","USA","Germany","Netherlands","France","China","UK","Italy","Brazil","Japan","Spain","Canada","Belgium","Russia","Indonesia","Mexico","Argentina","Malaysia","Australia","India","Thailand","Other"
"USA",0,1582859848,2290329047,3964662518,6481474336,2204474932,3638438515,4585181985,763260132,1331722009,21759405409,565574638,381292723,2497792127,17077514357,1589028089,2313737931,2324827528,3076347369,4085768930,31528224858
"Germany",2683151447,0,20321373087,9437805214,2398379644,2183613621,7853021498,5149858249,98962974,5228304771,486932431,5052161953,255885124,1377476665,195659978,1257873196,306479585,501368909,895507605,587651583,36993685474
"Netherlands",1878674298,12293420233,0,5207277647,1148339876,2721651064,1507671380,4071558373,61796342,2041270490,415567454,8450003776,177548226,1328149818,178881828,1758691588,769191312,529983043,475158109,550066238,17532177945
"France",1226817159,7130868307,7725836323,0,840633946,3330285313,4738499848,2008362825,64425787,7323704586,334125809,7252822586,132895058,251809072,107053503,696277713,105225169,108902708,604681559,503687716,15741011217
"China",18967596426,415709843,684547099,2162238616,0,233664564,309808968,14980238758,325820452,445719326,2923013969,81040828,1688467640,4059686706,147324176,5311071550,5029676908,2133642637,1010379350,2796264808,12639199736
"United.Kingdom",2021852114,5686217835,9029560383,7002361449,1040986556,0,3476933842,1844071825,54366662,3835536077,552439098,3411785754,165446301,392530158,209817646,932560527,202351059,1061683558,797212084,1512901034,23679938141
"Italy",882497813,8139583558,5167710010,8256200656,588471451,827960074,0,1254172831,12716497,5412665741,493969709,1586871180,363952073,787767233,179279239,1389540904,227192818,149888298,509306519,476098888,17038193097
"Brazil",1178473360,160408053,211682871,210398078,623201654,183728560,181125210,0,9570517,211883889,66255830,110457553,599712,404198291,66123598,4083734775,159380937,21286817,57376894,30703403,3473161720
"Japan",19131558485,1516605960,2810536122,1853149607,10199664074,383610898,864581660,3701663302,0,554506431,4962884885,214132877,1465151231,1314378263,896698588,615170139,1506543088,5098340064,1345373150,4923917850,17265335264
"Spain",1630174046,3235493324,2749623109,6413039162,919349779,1822437034,1591243899,2304778949,12451520,0,230505285,987968449,180469678,574496129,211962560,1581964787,145838967,49484649,344869317,214412890,13630128548
"Canada",19277070387,325633422,321783263,831764895,1092256417,438039740,871235393,1051551401,73979794,236038426,0,198116212,41698652,112018914,1289211617,266706162,201321874,410657388,308806976,675726053,5216312883
"Belgium",701599461,4315228071,10210704089,9549821536,353073402,1258996869,1233106325,1233980085,8125607,1205356474,443687132,0,102387589,187815210,82776321,219663145,35830997,284569859,314380166,146223701,8921151660
"Russian.Federation",1670991260,2350188468,1936657712,1487848843,1706857636,556124639,1280996729,4011834151,34066492,1381020406,623999625,634723418,0,726776214,164791567,848649425,370389800,425733609,541994221,306870661,18036421816
"Indonesia",2535717712,73273864,159917699,133955465,1590043045,18852797,20358165,856453156,60887409,14266372,524517665,80882565,12586810,0,21843362,1472788986,686870210,2513582759,988633966,1913152206,3412528039
"Mexico",18265384407,86397395,151736250,168968390,426002581,152060842,97359040,102102793,15757257,269115302,2070362514,19231262,2209688,54797000,0,191072954,46307452,33593108,87593527,40146619,3096475302
"Argentina",129564303,20877037,25123232,29402004,58851083,25520315,30841825,754590408,1013212,26671510,13196320,4601311,75609,22682812,47563531,0,36902252,13557261,12279378,40257809,652514742
"Malaysia",1018430172,156500980,266789509,234764332,1407259724,179380247,53042763,1013472857,84940845,23966700,151639983,60063213,2213237,4060383028,21026571,1079430587,0,922841108,1055307342,1498518481,3345198813
"Australia",1289420564,250640760,307442952,378584598,885781305,394766900,475031325,205003472,76368992,164457511,212373797,106070206,7603356,201405480,129896330,307133063,516867725,0,206909359,852212095,5219017605
"India",641733094,102762100,61086972,120780372,530046390,175304206,66717345,259690931,52479751,33688972,603369385,21750375,69406942,5302734647,6578431,987861955,1561780571,235976866,0,138640796,4302830006
"Thailand",1330876754,139339251,178225705,184417978,1102360851,218124726,110612641,1368449855,277003816,104148888,201178845,58218268,56624102,568408379,24937979,485557289,500909274,577059515,427372012,0,2715555492
"Other",39337263032,33266316100,22662559993,22358590777,12861428793,12421132206,13164444682,29107657775,2223924934,14110499836,8176831186,7243177973,9408632546,8587352290,2160608959,20205906662,11937152726,11894141098,12113924252,8334264108,160313492545
