"Country","China","USA","Germany","Japan","India","UK","Italy","Australia","Korea","Belgium","France","Canada","Switzerland","UAE","Brazil","Russia","Netherlands","Spain","Mexico","South.Africa","Other"
"China",0,12324549768,7139112822,24981107758,14876999603,1957332221,1402364267,61942737010,11610297603,3221046363,2287507374,5206057943,1136804540,386721145,27467213252,7167967664,1126475381,3356353855,3011260740,14012924902,77990843204
"USA",28615553285,0,7953481515,7200435720,10707062772,3264281666,3778146603,3096449993,5105434025,4465515032,2556337864,34331046656,2593365337,1046625469,5611177066,5189283532,855414653,1085548965,22462008421,5213542191,42717037890
"Germany",8682356955,4807119884,0,1697159541,1363447618,5976952889,12648962127,1178376042,733436888,9773125502,11409275906,2271611246,8983526119,444975256,5884773694,5982536048,10645237346,4200400056,195755012,3499383880,60768169111
"Japan",14876094179,4691141235,1130471740,0,1563316139,749678034,379479861,17662119979,8457131180,300067113,892011455,1955750816,300462496,593271083,8024972340,2436976934,88939644,635172364,843889790,6941708957,24716002250
"India",7717672730,4844386979,2373363788,2465423129,0,4378551360,1028860449,5138766978,2786522844,8911181654,578314613,516746636,29343929300,20767382090,866398835,2331623606,491659906,364035498,197163847,7090346218,15889213247
"United.Kingdom",5814708037,14155748205,9325493389,4150297581,1477675502,0,2862749223,5197046061,382924351,3826970587,4113697131,14842759659,6185235402,295203297,2467857994,3180195262,2698525544,3330756156,893465711,8245619104,19981141167
"Italy",4562313524,2114186627,10804043022,325389618,1122244847,1750893856,0,309249350,859554574,2647477353,6836941188,341559279,3827201459,387528015,2594061848,2085586684,2620557560,4030829029,187208014,1720147645,26826792152
"Australia",4507179915,2018155548,653040699,1643097477,487034544,1053307560,493200716,0,396923155,108025466,258739016,249686192,749157575,66153581,250032095,14591002,74602858,150678979,243436960,133413777,9232485853
"Rep..of.Korea",18056249820,5252732578,1607938781,17067679368,1331124924,673604105,361935834,12400610492,0,234088705,550099891,801344998,266395108,553745961,4349255378,1984455401,540252337,265714700,1278503050,2209857020,16092567585
"Belgium",3939213493,1827551626,8272135368,376413141,3950162441,5818011795,1493393715,891200209,384227337,0,6971636658,965007230,1150919971,3021399805,1213376518,4862517595,7934971726,1028080225,365793742,1197913934,14361733041
"France",3875969038,2087843838,13757296137,499211499,478210712,3149184318,9138460282,131139079,192201791,8461670873,0,884017202,1650652351,129124295,1585330486,929601697,2257841259,6123119973,66642330,304144762,12913498057
"Canada",5112153558,28281617939,1156382752,778780787,568809491,1443734084,597501660,652952173,735066036,191561861,385638563,0,248613499,43637882,558568477,225266011,91725351,255098376,1770772773,324360262,12689660622
"Switzerland",526167286,1858012543,8922982965,1931710360,373753728,1306939693,4059185933,331511407,33546658,1487308540,3040722425,100970344,0,439446121,267880294,533227094,726503884,1663462187,10168559,1388945452,6122059814
"United.Arab.Emirates",2946065699,1301953481,778830661,698714209,23764622532,1601478187,1270194707,222221264,2435774205,2191316455,635816161,59252025,2671750429,0,577589636,714728995,137651958,300274828,63877553,307605535,22588836400
"Brazil",3479888523,1575216722,1114078433,638476346,236564965,236441225,587452683,116773794,540630229,162677201,452087920,205570023,88461967,93918455,0,312235821,83918148,390347077,598258173,365145038,7676274687
"Russian.Federation",5327759545,604308860,2926531346,1003527266,210042144,322484172,1196456610,14622187,674075851,351031075,606804343,90527770,102058925,8312577,129528396,0,195909374,444872049,40532897,102072310,9970035573
"Netherlands",2640408971,1038865284,12903060640,385667939,365888738,1774899274,1390883753,221222296,203634389,5653654463,1766337747,477255569,143397400,161154888,1865439118,1605681175,0,652050089,111315914,329824406,12565711629
"Spain",2747703930,969241845,4123663710,184751466,403029112,2117898807,3499437110,391658026,262312046,1076263279,4792176824,546322356,203401986,83911334,1305383687,659199799,1535512119,0,85775725,429221823,12400239159
"Mexico",3738084629,18525573973,1320863211,1611925534,294426460,160163072,873611758,194881573,992103259,108827884,267822706,1524881094,97649802,123875513,549439548,209489696,212723162,445798548,0,127222122,2726620453
"South.Africa",1581456825,347750133,694767500,247648470,374610645,242448693,214145160,107814995,140152836,181162092,191368599,169610421,37854741,71266597,176216332,33210084,61552244,123042312,44907488,0,1959198197
"Other",54008323403,25471138336,57789839645,33647176808,12107615250,13562762070,24625273166,10831608111,18174479576,12471744989,13432657148,6058985656,24439051358,16493954792,13625657943,27586144293,10015626156,14794128133,3824307271,8700208040,178141993607
