"Country","USA","Germany","China","France","Belgium","Japan","UK","Netherlands","Italy","Switzerland","Korea","Ireland","Canada","Spain","India","Russia","Singapore","Mexico","Thailand","Brazil","Other"
"USA",0,18598907225,26898084494,8600123745,4719847909,12344291021,12010110167,3517612631,4722621992,9065915116,5121127601,31167983138,34472254239,2038473798,6712322989,2838542495,6224477882,8203388910,3322728244,2496645483,38141258778
"Germany",17687897497,0,7193049626,17475507899,17495760891,4088706148,13084832073,24390381181,11262430345,16698585539,1132752860,10739543958,764374034,5341681028,1888188925,1243302464,2095904815,362094487,797398065,975393320,39192027466
"China",20783541400,10498731329,0,4001017357,2684980382,29253626687,2115959932,1784065295,2350183015,1734712954,29743896878,894930311,2436201761,1371740384,2164818643,3732800405,6416203207,601301223,12934098586,641899508,42984080339
"France",10162571779,23130072487,3881294025,0,11199354988,1972942696,6499312754,8066305642,7863362046,4688089891,395643518,5750483678,761627409,6503464770,713773499,838541240,3316887279,161978634,437226271,328343045,15549253315
"Belgium",12214679300,22909696080,2426082974,10501500543,0,1879171721,5820901048,13586297736,4119951595,1905997878,377593737,18265415622,305286025,1920320680,628202026,1052827556,3691453718,544736435,307667248,560818333,11878288508
"Japan",15705799733,7035990662,17632344039,4902935928,2040891664,0,2798989203,736073891,2693448007,3523679702,4828438546,2112773164,743721268,1551733804,671006267,182156647,1930996026,193615129,4749355424,316942481,11836252243
"United.Kingdom",9709843394,14313557407,4392510888,8339341388,8282264395,1245217248,0,9898512612,3599890597,2774583822,402041376,7672509029,1379068153,2877922774,1293498267,720058828,2596694466,192141019,377894324,307364653,13204434704
"Netherlands",8963907637,16808521654,2796854002,4368990738,10206023974,1517591077,5827443505,0,1981893475,895996401,341573947,946976780,473169282,1931434778,673966607,314006418,1175308323,105969190,397148363,618123230,10278774004
"Italy",4776794610,17135277900,3154177388,9791404606,8753968934,1179572346,3869668728,6739971936,0,7348811661,545442451,2720557738,222380027,4752048256,887847476,847280658,79786039,246595486,391453753,268302241,14702778373
"Switzerland",3892298071,13564504897,989888141,3149017608,1845550677,861184030,2529146326,1978458611,5899105778,0,112566868,5606928747,120304317,1920506903,507776596,237468544,81317579,391020395,51758658,102067401,4491010552
"Rep..of.Korea",6826502422,3059552584,8804346268,1217329376,701712406,16630718573,774112263,404779103,692742373,612955422,0,205022748,825141063,308620202,694317954,362661434,1342671863,65555097,1484524924,57777265,7016348231
"Ireland",2246807764,1307397989,361280746,1193201875,944272744,501842666,3336026547,1243007357,350312148,776048997,50442775,0,148418211,227218780,187417147,132495638,11068448,31161341,7712757,27017984,1450764273
"Canada",35070217057,2462610583,3173820465,1587107022,406706707,995969598,1433886315,446344629,785784748,1654396098,483806469,752595659,0,618865293,572889700,287664776,385606551,626811549,308885898,1022307737,4931027625
"Spain",4507784054,9820992155,2376041592,7396521982,3233371607,556844303,3719565771,3513592801,4071214731,2047360435,326345569,1883517759,167122925,0,684194058,358461400,169979283,217873418,350716914,411348809,10710248814
"India",5047067837,2290953420,10485513046,737448305,561906812,1461715847,580262885,564460666,711118434,752460433,2459676169,56323891,388959896,422767610,0,993137457,1570092320,94744921,1597300960,139691616,14809416804
"Russian.Federation",2443278845,7585297075,3749787538,3599041050,1499057299,965741193,1547057261,1398206257,2106488340,1337927346,1249367579,540715820,142012129,757130582,949835326,0,32606521,54933854,246859191,27930554,13278625389
"Singapore",5165456323,1358402694,2128358064,2374804208,333673396,2258758782,563281293,207960057,428032875,1098336202,1025619295,240295599,154017066,188001857,665967737,23668180,0,46319361,856556037,82849700,7945725537
"Mexico",30670797620,2438706578,3316103083,1158830771,412427418,1174993632,666776402,264740606,676323245,548154432,1007368531,687042143,1315280663,664650700,588145605,326052312,133368678,0,161357267,560825426,3450536190
"Thailand",2449743284,1239608014,4209107926,561054785,335204118,5547435449,321194365,245699944,395043206,312340875,1665468299,114839732,236076689,158276204,560610546,428716007,1801303066,30630970,0,77872996,6205865467
"Brazil",9566839520,4502934322,4313369829,1760414337,846046128,1071640032,1186199757,560185379,1115425883,1400581103,962916142,425879680,1517607732,1135845539,1060187509,2070453934,115372117,1025178423,719377172,0,11565965605
"Other",49284309042,82863488391,46264771945,33408021319,21461742779,16642735145,20400409295,20605778663,24188291158,16814105802,14997346559,7835801699,3743175228,16414803941,15701677058,16235842893,13394978620,6176552916,13143140287,10711015886,166640633337
