"Country","China","USA","Germany","Italy","France","Japan","UK","Canada","Netherlands","Spain","India","Belgium","Turkey","Viet.Nam","Korea","Indonesia","Austria","Russia","Sweden","Bangladesh","Other"
"China",0,13645388321,1506888253,3376134096,1336819932,6514422538,1408909768,5753576994,731167833,700440794,4084156959,490802661,447754811,2158316872,3920951353,2512748297,288253076,4556344167,755684154,315717776,25452544839
"USA",74867762462,0,1872256352,4252998865,1398192797,1199701869,964420798,18879485506,509313238,584396122,6984889473,261379779,1065840544,9620794504,1818828590,7049941443,251977972,118700171,245840671,4748584033,40687599348
"Germany",21152066936,1687527252,0,7494819436,4553019573,391462526,2277586502,241861499,5111774715,1457638205,3443476332,2565929696,5818666614,2201247997,339703958,1734285254,4653465878,628260491,4238911626,4176814144,32225523143
"Italy",11202739538,1514665728,4948149719,0,4531144606,219329010,1257629979,372182933,1732473070,2532182899,1823162323,2098867451,1975205149,581780807,289658403,649826517,2754031399,368164408,1195872021,979663917,20169485492
"France",13785884367,646548163,6207178779,8040066137,0,351147120,1512102542,214349111,1342387580,3066184388,2072650861,3503356395,1992201418,1202149969,224269977,716815154,732776200,149096814,1091157334,1954834683,14640112488
"Japan",42746307145,3252779889,520344856,2453698809,1131245514,0,304142299,1829428482,132311412,283496443,583147402,76704113,155644470,3117654396,1161725661,3036112839,380945613,648087682,512973040,489401698,10019145018
"United.Kingdom",17490244355,2153733925,4633750410,3744669287,2546594335,135016523,0,459383785,2552291569,1254812741,3697442460,2434148265,2878608884,1409926526,234854366,1044245083,371819227,177822438,2423797251,2602635345,14181981327
"Canada",9271544032,12663855334,273056656,570147223,289000758,91293435,216965704,0,140432935,108470251,609731303,61938738,177691335,593825303,199867274,427498877,95658178,24704335,30022315,1053992893,3000346383
"Netherlands",5842944796,999235153,6507961975,1582056889,1081150894,131415263,1038549683,160512016,0,741403074,788391819,3594865941,1122960751,510202270,91985450,537685487,410869448,131562212,1520003783,715140360,6125658377
"Spain",7557461116,544648782,1751691548,3177898849,2554016695,42220628,586581804,73696637,847773106,0,1445322264,639113317,1941578887,899254341,143562364,451476753,223645580,25107205,591991759,1344011449,10106765503
"India",3210542287,1116924529,470315000,302967902,144386407,180213725,241086099,337391380,95777344,74735817,0,85711224,66015746,97917614,388935596,411468680,74448673,199967767,206180663,275234775,4360219907
"Belgium",4666904389,626033138,4182972654,1332854462,3955543088,69576118,743480930,138391246,3992073057,575206649,700897664,0,889063057,526367061,104157028,521936348,315043704,146621002,529642111,702602026,5495251804
"Turkey",4475538670,2000900503,1306432433,1245996739,294650927,60066116,249492255,158055121,111991735,501079022,1087039235,105616739,0,597058466,396183667,867013262,275330368,368417230,283080751,884479564,5711213448
"Viet.Nam",4340499934,1012016729,92793936,168843126,46079001,929217432,33845026,20736467,16370986,25906594,327157095,13512751,26281561,0,2160821799,472537576,12880186,18091158,17891524,20563981,2787180597
"Rep..of.Korea",9473952734,2490293154,212327693,1187136531,508330136,991020358,156302012,744806178,48750408,108409750,494373922,21289738,79529800,1874806719,0,1315976672,127086903,245255293,66750797,182116820,4016504315
"Indonesia",3016002987,1072117009,163261854,135053271,155056501,464198742,165608961,340047948,69027080,54755782,283974723,45011541,51006111,286464344,1612064265,0,86562790,47291547,80029370,25558528,3376887022
"Austria",2134255930,137039000,6626499075,1585634452,287925459,23689274,191193523,15367738,331650340,218047406,328904511,200812698,478450033,255124571,20404074,151120827,0,64189791,435270214,349911332,5219351056
"Russian.Federation",9314631864,278678505,1355364689,1420951392,261344638,158139149,202128868,62187679,210485448,157648933,346033430,196303945,1378627559,412263847,266620623,253905885,219076004,0,301613391,316021225,6135921097
"Sweden",1783443864,218966664,1553582885,403149907,182911963,13530610,441162481,22169544,534447004,122952437,329880361,299637771,352019846,128041886,51840540,55704496,105000616,125784343,0,334461267,5379196214
"Bangladesh",1424485868,440944376,48707385,36794184,30140001,39189799,72480301,16526845,11453760,22994788,1997525529,9282870,11904778,20220064,197981031,216542659,7421091,3025450,9865994,0,5487597259
"Other",77304106567,27793061480,28683041646,21318039398,9235771745,2934156133,7910915850,2404749927,4873917778,9007634195,11024033886,4459868063,8652582760,4451865619,4295183792,7302763657,6559392997,5075391599,9302742131,3553409498,81385281525
