"Country","China","USA","Germany","Japan","France","Korea","UK","Mexico","Italy","Canada","Netherlands","Singapore","Malaysia","Belgium","Spain","Russia","Thailand","Switzerland","Sweden","Czech.Rep.","Other"
"China",0,55093505412,73014085465,131086849627,12209852980,104081107619,8722754595,4169054248,10053043381,4411538528,3431941931,15050272942,40138544503,2938933040,1578791707,294369302,19193023551,24164875384,3670828511,1779729404,66328268242
"USA",262108194051,0,68325600309,106831592150,21731720530,41448104363,25148616503,163560803058,15553938764,102347061369,11541505847,12096857954,19773735516,5199540117,3075886531,665897557,12543706913,11806204287,6140421040,2228397318,82069029024
"Germany",72503067976,38829405830,0,28468589266,46297193236,11144658340,25181590903,5004794633,27101550957,2488942734,20928098534,4253001847,6431485320,11101941050,14956960285,762945699,3142730745,21504577924,6318984421,29509948927,133226659668
"Japan",96521242167,30444805735,13073901474,0,2999636441,14384811142,2961551838,1967094789,2241581009,1010975072,1880282355,4866805579,9061778950,712549695,366156605,30162593,10922140782,3059466629,1190558102,386134003,20513956501
"France",33714509202,21476105759,64677202967,10018140410,0,3421196889,11338229002,1136627736,19488732591,1644631653,6297110788,1129296313,2345602645,8066542185,17792239723,201414418,1326663076,7670182079,4185064493,6312751799,43883172616
"Rep..of.Korea",44336686229,20924776327,11710500257,31294386931,3612685338,0,1579331365,785344476,1897920233,607109161,2982669710,6251388990,3053712883,303103677,230651169,104476353,1936926769,1576531722,1526650406,364040455,10407643951
"United.Kingdom",37184800528,31794894564,53073539117,14263846775,15814262831,3411949737,0,1484858878,10288838495,2139173195,15410385857,1590144726,1874348427,10714747812,7483985741,230004820,1872666249,3546123529,3797361094,5209063208,42583143641
"Mexico",42571934070,68393118468,8664083948,13492830769,1579407548,11248177195,1104979845,0,2367210707,4101445319,302423260,982641092,5110946073,292900397,1854935354,372705295,2662508453,870818779,713402403,423745209,13054907118
"Italy",21609216188,6359684407,42939867589,4126062462,14441824999,2576257918,6992326551,626373413,0,580846886,11321694183,242902706,481965140,4920500801,7956729731,77233995,671618508,2964295166,1843331971,3473157524,29709493640
"Canada",29980965720,110977550144,8653929336,11122096844,2361236761,4851449891,4070186022,19178924160,2225383160,0,508456616,699539784,1636066114,514956436,305064020,54761034,1299507285,1055763074,1123714171,211003011,9800702983
"Netherlands",29975807881,15076154738,30429555188,11541218757,7125150987,1711059311,8235638426,1572518137,3668045205,548743327,0,1648396958,5834936992,10611408395,2804198667,105327975,2334968103,1238685511,3729230319,5803062061,24978400454
"Singapore",26138650185,26240095487,7705444719,15265592598,4066448888,12749996026,3569338520,1584787528,1960088392,780995521,1879518612,0,19111028999,535095565,234898825,12077050,4232566927,2393404024,748822151,154726926,21784425559
"Malaysia",15854580668,13157432443,5352517687,13226381168,2676196699,4318553437,1090413623,209495146,1109646021,254205033,575005604,10476930538,0,216170466,92333273,8091877,5372058738,559229628,419979862,79754100,7408584822
"Belgium",9105063386,9536101257,27656925203,6767386230,16014773086,1099795570,7015585651,933882244,5114098098,560296458,14942907675,260792784,306587850,0,3582994539,64016205,683144644,1966640259,5515012023,2745105242,17641947551
"Spain",12324363365,4349720538,23617602658,3636800852,17199901405,1504052965,5367950319,494422929,8179405569,407092424,4630591602,297095749,363774060,2623578443,0,41714456,611007100,1384059997,1735793784,2532073727,20796294239
"Russian.Federation",27733494068,7456448135,22937650873,12803975294,3855555502,9175672862,4463897045,571303282,7260386007,750759926,2103421792,293260220,880179627,1349221246,1542045542,0,1204348186,1227583916,2598693888,3249434198,50635372217
"Thailand",17663002365,5431493502,3077878473,23623686729,1187168894,3684440070,970957588,324910425,959153222,242135208,484849996,4330369819,5783724798,156784678,168342860,34671421,0,865415878,940148661,108921703,7570737818
"Switzerland",4152164267,4124123261,27504444856,1828106411,5498582045,391000453,2736691182,168767778,6216784482,252341952,3588921751,400751777,270768300,1783686535,1300557026,131559643,593042576,0,963471912,1753656849,9404201726
"Sweden",3755673622,3554479811,19937581994,1570395218,3848461160,1029200409,4748368130,68719775,2932316378,237375537,5360592052,218960342,273937242,3469426494,985458191,42552479,399924449,691862990,0,1624656551,23113167422
"Czech.Rep.",15684389100,1885184599,18978703315,2501236206,2192107995,2314219106,1256418574,333360466,2317611583,97635560,2696072999,838259497,1062479919,600915906,1184060619,306903195,1089726729,770675157,563601709,0,13530558772
"Other",277094850061,171735534517,222878338733,112394992866,62626060336,75785677583,48612668533,20989307237,71633227158,9758705676,29347891076,24440372070,18797799296,19837955858,29896924025,18314221249,33654374103,18268692011,36858716311,22378566126,266918939346
