"Country","USA","Russia","Saudi Arabia","Japan","China","Korea","Netherlands","India","Singapore","Canada","Germany","UK","France","Italy","UAE","Belgium","Nigeria","Australia","Indonesia","Qatar","Other"
"USA",0,25424852535,46236768564,588552654,349226293,2660984621,4734031730,3187442170,141980691,101946662060,335882477,7571479874,1816605828,2022993074,394014175,2214444375,33703299987,396449184,846863500,795776359,214410375147
"Russian.Federation",427703986,0,45531,47161215,205847682,85765282,76475450,8265406,11271646,14119788,281649721,71082795,14484956,27516379,77327,90737729,0,67291,1435,0,3348764636
"Saudi.Arabia",68549419,0,0,3563738,10259746,33344575,7428009,31185639,2906670,850934,12891216,5160806,9794146,1380802,22143494,11338948,0,0,1246668,754401,103616930
"Japan",3040657240,14249775618,49810638586,0,1906538160,8713907716,68774569,2281901454,654848687,2452261202,33393090,68704090,74297397,50468100,42199335940,14302790,1545977198,32156782952,17866102034,29970285703,65079759103
"China",2309428559,22922650623,39473289438,2406029243,0,12727969374,902709291,94986488,5637945459,1436734144,151691801,118039502,81356248,86909724,6592189198,714145814,1380720482,9236619517,10446850120,3476096328,144694876138
"Rep..of.Korea",2642649643,7466581733,35666001399,1827258088,2099931346,0,94304202,4672589723,864940120,2549630164,26948069,342182763,55053257,50664702,14147446487,53446964,776830663,10318219338,11850405306,20382304239,57428435642
"Netherlands",4200165341,20321934779,4513078108,8595730,92749670,329018168,0,1322292231,710903158,652261718,4900610355,12737730822,3542546856,671305451,1073083540,11472107132,3629806034,197727377,1472,1677833371,31527835921
"India",1558252927,259476139,25524570789,366973790,1442078714,871235004,221594100,0,2497806697,42161253,54613869,150439894,139858062,20919275,13227933690,135554683,13464884311,7172817429,5159113380,10158503886,73830970306
"Singapore",4444439696,3000002573,14206493916,4907807575,3064797007,6687295285,4464126705,10676749855,0,5959212,14691460,587668437,257365571,214004402,10420178965,41481619,6,1113719258,7768181823,7154467369,31077284504
"Canada",16902182406,664678910,2747544755,131647640,22795930,333948045,1081386353,91784744,409278982,0,49389440,2832853610,150288001,107033636,123061737,310926480,2451614666,84838,330855,391187834,24414140618
"Germany",3252611055,32775272291,698765807,57900222,255141203,105120690,21859142664,120171614,41535252,857897825,0,12086758903,2697493625,408245040,311554212,5430087438,4436840004,1175191411,17102244,55975213,38585230202
"United.Kingdom",2103302793,7895017409,589432303,87386781,116463241,303454237,7077793679,700064774,427967824,767306665,719555853,0,1623005786,126573001,800911467,2343941868,3536370740,869180822,9613158,7273749167,54005484792
"France",3990021411,17096972183,5937737560,90019670,91142550,654228832,4418278553,1390803623,805910919,315185725,3705202158,4757087901,0,1475921300,1227138579,15917999192,5811195751,790482792,345074,1773061627,44073930123
"Italy",2463697204,19774872377,8506492293,5549413,14424132,238711566,1650907538,1023842984,4734947,283370831,2765580172,485919197,2660584047,0,472220264,238148769,1925701490,636929328,838906709,2775442626,61405776856
"United.Arab.Emirates",35223336,13567872,323042457,17634402,107839954,72929586,18618182,122230487,18884887,721716,28367537,8679058,63083344,147201134,0,8018309,0,945461,10149341,7107512,1425905127
"Belgium",1849582149,6159074065,210840699,5193228,20216001,225157062,40612450301,775694841,23125,222398259,1730404970,7047208039,2429221779,171245105,293547590,0,25004596,576512988,4025852,1974454537,11728466637
"Nigeria",3524501594,47856918,13151521,7176,117396145,688437,13387876,291283080,533597,0,397926717,50330010,156025580,169942302,19257980,248395530,0,74517875,0,0,1194476253
"Australia",438766233,946457326,82412859,2152985089,180030200,1546109570,15005120,110439540,8987410702,3916106,11209499,43771646,5062331,969176,3989535108,8008175,2110020980,0,2853856228,129883065,12473235056
"Indonesia",120500428,395028610,4477152141,120420419,771749308,5570614479,1632182,351836167,15442276426,108317,12931594,990880,34222526,4841320,478581137,5201439,1606085058,3772151,0,348981402,10622073961
"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other",71920483263,177242943363,52234053285,1668545496,4016126987,6448686896,11431562620,15609625638,20224799698,2212739698,20694768313,15924193082,7916906529,16194591606,30224961085,5810998108,28743694028,8031401337,6033121115,8824853421,281786403274
