"Country","USA","China","Germany","Japan","France","UK","Korea","Netherlands","Italy","Canada","Russia","Belgium","Mexico","India","Spain","Switzerland","Singapore","Saudi Arabia","Australia","Brazil","Other"
"USA",0,425557373462,109216636056,146431641314,41793162265,54963670848,58898733167,22257723142,36963690751,323026401792,29364243180,17366742380,277586310356,40512299957,11766621419,25946595072,20231817375,55666873290,9358158834,32123374962,488839563852
"China",133765823048,0,91933080631,177832335544,24124459639,16801246807,168728402319,8703962287,16064755279,23209147824,44138278872,9964753730,9161024573,18797190537,6334673435,22884175885,28529562909,54861126276,84568208584,52281126771,525548861175
"Germany",66556879324,100675769428,0,29856552916,82641385733,53834456820,10837579148,100522464535,62860474267,5458791144,41169782227,46946718557,5559613397,9099689132,28709728465,49491331029,6565017388,2231247796,3581657681,13513401947,388200618204
"Japan",78212763802,188434778871,24705414403,0,12830577456,7298119434,40593373139,4910911663,9590730003,12658984389,20799798561,2744190070,4402615042,6998405946,3824766452,8212207157,8768136297,54845469306,56375193154,12016638634,301479486281
"France",42364088460,53036988134,114581626927,11757354996,0,29304433038,5600991318,28818726290,47121080228,4467597098,15366374643,50091922851,1604231575,5988768685,39666512123,15563131112,5874984956,7085712988,1694063875,5423081374,162924255387
"United.Kingdom",61329450515,56267400214,83087741937,13828517141,37745971847,0,4800023622,47729718178,22349077121,18840454559,15071606536,28328933244,2506181765,9275818768,17444693521,27560769583,4453409035,1992308064,7105470320,5088045336,203320170247
"Rep..of.Korea",43652459445,80782203113,17645261050,64362822126,4927662578,6364278884,0,3994008236,4828202872,5247041088,11353881720,1385935247,2591487490,6920826220,1293228871,2590853412,9676321202,39707050856,22987586119,6085364049,166600611003
"Netherlands",33312875926,40375080691,78142731173,11970597361,21981863872,31788512000,3091809043,0,10120365258,1853943743,23474807367,47804226802,1818791414,5693694005,8537438419,2915616999,4478545443,6055488587,1114832088,7032598116,130036504400
"Italy",16280688104,32162562493,70899283794,4103417801,40615044939,12490466594,3632845534,26423955737,0,2231640155,23564320840,18707598004,1333614323,4822059745,21831846533,14124348498,328109235,9567016278,985319907,4375767534,175649577694
"Canada",234075807495,50764771701,14310174704,15038600524,5020415246,8547842147,6377843075,3550750152,5228623432,0,995383185,1723264216,25535745170,2858998115,1749818162,3604681717,1425840110,2851533964,2081251712,3971087659,64351991340
"Russian.Federation",15505297687,51767694478,38289660355,15676090028,13806116297,8191608071,10976879221,5979837971,13426404130,2473199710,0,4490432277,1094094929,3041318031,4913996533,3039163432,413959229,270150686,896275685,3358765128,115968591623
"Belgium",27659969498,17348824027,61755177543,8774429612,46015943717,23759621091,1938717371,90805748191,12853583571,2236274808,10944837479,0,1880013825,5422246307,8258157895,5066761851,5252616563,1643521479,2143184547,3173093668,98402591014
"Mexico",185683874982,56936124937,13507763078,17655205742,3471933655,2391965324,13340966463,3561583688,5462439058,9889853000,1208811133,984205046,0,2950911960,4081098510,1535515318,1371142641,667352751,934458079,4494508813,33986730960
"India",24105441324,54140455371,14765654298,12362966975,4342332325,6636114600,13675086540,2621721800,5149393016,2561282761,4602155654,10244337855,3495936639,0,1755633670,28718212980,7797327220,32826638760,12928893594,5394579609,227758470100
"Spain",12558668791,22671307821,34855867029,3767703805,34213525162,12907442832,2066257980,14170229123,20013006237,1475625694,10372710283,7595686808,7433773546,3562651775,0,3373889055,490644705,7784385278,767630629,4327904129,114918249289
"Switzerland",25440195172,11072617690,64233456900,5045931463,24269117869,13950829650,883187374,6819085075,27705642121,1304259444,3082624170,8484752126,1470137429,1547354618,6667857511,0,2242400314,299622607,827296499,2116557267,83024885931
"Singapore",38725518668,39168337211,10565369007,23635881487,9124646424,6997941409,25625757990,7841477841,3579829470,1242726681,4431565461,1254700132,1676879194,12972913566,1011624339,4537540532,0,17210512869,4904252105,2044581498,133881860230
"Saudi.Arabia",20286429093,19674974726,10937476073,10352631873,4449509296,4043338657,9374287717,1623944162,4535766203,1969174994,1458941558,1064622930,981101228,5133491481,1800685185,3531447082,1058674126,0,2157601366,3127388175,41517724186
"Australia",28967265416,45096429975,11542751309,19379029253,3929479988,6941645995,9804697005,1984811318,5468961461,2374392009,882239284,1692213285,2045652881,2657821340,2933222851,2989023085,14558240930,392319562,0,654626089,67422128111
"Brazil",32607902409,34248497709,14208929793,7734742074,5918552270,3505207193,9097657556,3106404977,6199258024,3072137103,2790714060,2074108349,6075066118,5042842814,3540131191,2782835790,860718474,3192910861,1288016433,0,70657735082
"Other",290051182772,436335283196,410621624124,175559759932,125078591035,110915104671,110964600360,93305794909,145360791261,23915662330,245726251261,65260480728,31982550056,73416834955,82347180905,55198153648,89253682053,61751858404,38705193107,79385743060,1217505343064
