"Country","USA","Germany","Netherlands","China","France","UK","Italy","Brazil","Japan","Canada","Spain","Belgium","Russia","Mexico","Indonesia","Argentina","India","Australia","Malaysia","Thailand","Other"
"USA",0,1630932036,2273722388,7015483696,4216083107,2351380434,3761983252,5003902538,786763189,23032938169,1436584505,611950427,318716550,17656380492,2509815122,1699885268,5756241371,2635576363,1811308312,3776328972,32494682196
"Germany",2922324575,0,19206091495,2298012035,8746069929,2224623318,7569936983,4440810316,108452814,408003071,5218676127,4901870497,270428288,207389560,1201050688,1179735483,832633533,554899532,329605153,652147996,35875323138
"Netherlands",1862188410,12239688915,0,1087236882,4845508399,2656631791,1457811193,4023073805,62742485,337849244,2012175168,8342774568,169375840,170331721,1580700091,1529686551,479361072,537461803,1397422445,501629847,16918986079
"China",23615903197,785445734,894326523,0,2503608452,265360573,337354034,17861928298,388556337,5101147168,517331865,117338168,1551745217,110193977,4613030236,5039819268,971425582,2919736189,4278583747,3744031064,15771150946
"France",1003855119,7085643869,7255388908,738474144,0,2814894673,4534280498,1980831905,58442326,347183817,7547473170,6821360756,212123682,127400085,243817775,554047491,601888148,128303835,113776921,421477235,15190938629
"United.Kingdom",1727849003,5473338738,8595084828,972681368,7022522039,0,3227248836,1631050545,50185068,457700698,3640513711,3181546864,207151979,181451636,318819853,917540015,813452000,731617378,185928796,1176887645,22123665243
"Italy",730369638,7490636835,4680876740,494338616,7203242251,735166067,0,1123129982,14276952,344286302,5006719088,1425600202,401714409,129716498,880023318,900358551,505688294,156503687,245917678,401321913,16139615277
"Brazil",788056679,158117505,221846457,683684727,215383267,173246740,187251491,0,12166358,51243477,243220819,147199597,11642479,73626503,385867569,3705832205,66044463,27198002,61357855,50225004,4140168290
"Japan",18116952587,1163809527,2731169324,10986035691,1921945152,400178841,963219877,3597567953,0,5082369209,666685128,227359007,1542958054,967451007,1335412544,745404262,1063208280,4936663119,1432055444,4843255075,17970395960
"Canada",20858026438,349064092,318120857,1127956540,835185328,461866015,886318404,906811521,83186734,0,241489321,194421768,41868177,1332118698,116365661,289118766,389069373,425127084,188255936,689205979,5150431297
"Spain",1402346214,3046979718,2536592905,769122213,5793361423,1486316961,1449380141,2316160146,9709305,167842968,0,884953040,409516934,227494625,453501293,1404534063,355500972,50505792,155507162,142147630,13665320071
"Belgium",602010141,4284849284,9714672992,320357282,9317945173,1304798452,1205149414,1162847479,7491874,379382370,1247558302,0,175823540,79069200,146679489,315095344,327524293,595913498,26992609,111204370,7909211306
"Russian.Federation",2117869505,2172884409,1765944514,1599553716,1530194826,612049913,1284415463,2814340502,24814800,831003837,1491399629,571739292,0,234995277,734683563,952375623,565984493,323454203,287882397,210055380,20324104167
"Mexico",19373419684,77514600,165130824,392474147,185509095,176571842,120552684,150810071,10722504,1970283289,320221299,24954262,32919083,0,27645245,272787360,124559557,50691395,27760401,41386498,2905812929
"Indonesia",2443802606,83195047,170932596,1529763672,152747916,24800532,60456084,830256528,47895944,481390488,14498850,94475521,20640905,19353857,0,1618620690,1005490392,2421993639,616803261,1742982688,2954968146
"Argentina",148345280,21846859,26395697,55096617,26303655,25067157,29902984,631295394,929982,14150886,38165653,2716252,96388,42880381,22247427,0,11560164,10302041,37503683,37915413,683503176
"India",671447026,99690053,68798114,471021284,161574219,209326732,68777898,744209335,30851127,562412112,45331809,19938902,223374370,23318087,5587246787,1086077988,0,420498168,2630249250,132841064,4587551991
"Australia",1398037175,302116013,397679690,925677498,426503720,422919032,479629146,171226199,84788409,216763841,176994598,103074003,5202443,153787215,214946255,407112144,260420323,0,497277737,861765100,5306215218
"Malaysia",890691042,156322917,281949613,1420869802,255372171,202037221,65914765,885433315,92117160,192950379,29172899,61669633,5647447,22021104,3444105862,1162746730,1164063223,1044601773,0,1313965867,3815686411
"Thailand",1514168877,174800343,191221010,1334198671,197878738,226857642,98792238,1490926059,321195608,176960410,62901651,73581869,52323015,39171873,700959799,515534596,642299415,804461086,527304719,0,3189560223
"Other",33889520980,31768532053,19870033215,12252229273,19514520427,12086528332,13180012617,26082905361,1274642220,6203291834,14095380452,6810285625,12594576311,2357281940,7671833452,20173286492,12259394918,12161499597,9173271054,6782836763,149276967306
