"Country","China","USA","Germany","Switzerland","Japan","UK","India","Italy","Australia","Korea","France","Canada","Belgium","Russia","Brazil","Netherlands","Mexico","Spain","Turkey","Thailand","Other"
"China",0,12136908602,6907929237,815423398,23033704698,1804109613,8880530808,1365539425,54891001043,10805838393,1816962247,4981709961,3513379893,5359962589,24355960385,1018293477,3206300145,1949273658,2217602365,972168222,86107489521
"USA",30407345449,0,8002196380,2204875588,8260886062,3759899542,10268832028,4613940060,2288539682,5971967795,2713391899,31704471267,4217714592,4546837125,5693340030,926053581,22561893372,1377213863,1812551223,2433696516,45159441840
"Germany",7690719724,4564566565,0,8686302444,1394775487,5273436385,1182080239,11834346405,1046132986,748226097,9788162270,1702863646,8012469893,4811081056,4803126857,9414803219,166867367,3799368361,1624810148,695112741,54161500158
"Switzerland",806766999,16059140381,13397202075,0,1609054925,7973231286,321372228,11772032657,558393199,46535209,11166966877,685127233,4178361093,2757818529,1220305020,413194401,527694305,2542827890,1318961115,3996138135,45479768444
"Japan",13785518884,4450562250,1073621045,365729668,0,586550406,1428846963,437067139,15099518706,7405979917,931376041,1711509366,267242016,2330045733,7397412354,83442735,846352773,339037473,44360800,2076544451,25710698795
"United.Kingdom",5066239317,13299521015,9242144071,21025442197,2870720276,0,1409801078,2595012411,4852357833,790862052,3764467825,13774926349,2782696773,4223408287,1991997369,2305540390,1222673323,3392720318,1704664494,353312841,23466041164
"India",6869450129,5939894853,2458678404,26493965311,2655076329,3397757302,0,867263950,5212027674,3039607006,750463740,621251898,8869606316,2438252069,714613712,534782083,157512086,299106118,584198703,1048278482,42185533416
"Italy",3314146657,1832668250,9045211064,3483690462,244512395,1525934892,861697030,0,83678633,661525681,5843887271,275848266,2432531217,1672744271,1648661320,2066392783,305034008,3768745571,1105818506,185610321,22564277928
"Australia",5196594845,1385146700,621542265,746759918,1352695476,284301932,690237064,499739367,0,515743477,183296787,381763888,91404159,10048538,36430527,85958943,344286520,117694833,86017997,1639874426,8226534489
"Rep..of.Korea",16485372457,4863342675,1404698815,455541169,15658878754,574768215,1121834091,390436102,9861517294,0,601794639,756696271,251279729,1823996818,3622191820,358968597,1484795337,247886396,55332282,530770504,15889146720
"France",3596004684,2155081376,12141668265,1644517375,455986965,2712746270,480760279,8080761651,133648159,205393873,0,816070004,6847542008,753325898,1258920439,1924359948,66768592,5221680117,667880425,322286481,10708824969
"Canada",5453564183,28358610475,960610755,286916568,935202936,1131739783,638730209,661643369,780981482,724542501,365726020,0,183644814,198860328,557680028,102511512,1917407047,213429514,754542291,270517017,11306061477
"Belgium",3104872012,1709860379,7597255177,814406609,284914685,4850156436,2832621365,1359683517,850165016,267742739,5992867973,779431809,0,4202698982,862108873,6609458992,267033961,1013134994,503536001,321076619,16056161389
"Russian.Federation",5644625635,663590549,2563907615,114737924,714204087,332269519,313250066,1198733968,32536712,737058163,580632408,94520813,406631828,0,171319797,194236186,66174830,487715153,860584471,115031226,14712815286
"Brazil",3425820097,1546814044,1144183962,81802535,580136248,292910092,266470049,605860279,67545524,589269527,413841252,218081667,164602278,367518140,0,74055580,513880187,499853217,349149809,122250047,6607480817
"Netherlands",2311959110,1001347022,11524145088,123093446,337279086,1695395929,318184938,1302405288,172086748,198962818,1577438369,156026177,4809835043,1353364721,1187620844,0,71386926,562888249,298794404,95321526,10200763439
"Mexico",4099440654,19715887761,1315675330,66850277,1897581019,175721616,364882476,914906973,168566543,1495002121,296071654,1617026994,144872948,486288391,750486284,191647606,0,554540456,69506646,92467915,2436412934
"Spain",2186271680,1004863225,3581816937,172912576,131086244,1761410334,418217691,3114553904,297808778,194881608,4451582718,465884935,865339681,495807528,977161860,1282070103,99206546,0,407979548,70820057,9399334610
"Turkey",2115513191,3105497148,2245215711,2617856481,506490231,1503340371,458977377,1538558060,221165758,503680037,1288849276,281905509,1067849342,4177163611,740664089,1129532603,66810928,1477722026,0,58528114,17619426926
"Thailand",6009519788,1526868630,697661766,5945812763,11631379046,864683255,866347795,449691211,2298299678,3013991665,146020011,126637336,220014727,1341385303,301139656,110064612,53507685,106497398,67417550,0,7663803477
"Other",53714096930,18694929270,49095293691,11834362055,22658048174,11389789805,10563283024,21083219864,7138025643,13471152190,11479230572,3972016928,9361970081,21183668740,11127839776,6787434959,3620671053,13440228459,11851534906,4528584784,152200075544
