"Country","USA","Germany","China","France","Belgium","Japan","UK","Netherlands","Italy","Switzerland","Korea","Canada","Ireland","Spain","India","Russia","Mexico","Singapore","Brazil","Thailand","Other"
"USA",0,21490158745,29093193237,8408137223,3833436746,12497001888,11322705143,4530140729,4820287616,10079637117,5485519732,33313839518,25071992704,2182371828,8064846493,2292664956,8958587801,6379678197,2462589357,3120548470,36737461783
"Germany",17220975220,0,6530931731,16619173560,16065837501,3745005082,11750812988,22258487470,10589061023,16103867807,1150243540,665278839,7270217535,5062899906,1848431888,1143445314,349425068,2751310253,1018159306,633855361,36627922775
"China",20178401034,10962943222,0,4302518672,2674059248,28337413655,2370797520,1937125372,2457626073,1914891658,30140673770,2119867580,1122764588,1420760375,2324304271,3617097742,550278875,6297174508,730931752,12381626106,42404873330
"France",10660786135,21225759313,3851421115,0,10326896049,1736949723,6347954467,7130900560,7151259958,4341166248,335661511,729303349,5985432253,6107972965,676397184,601011970,194665638,3873485717,216979682,380916195,15334729108
"Belgium",13847642323,18443841769,2052249536,10126651199,0,1804456024,5322850137,13622802563,4281744743,2376254022,341173557,347809460,17146154231,1855340931,604583161,755528570,495782137,4940351084,481036291,320489381,11623808455
"Japan",15579659685,7550962557,14955772210,5368136626,1248580234,0,2330984092,655456775,3053228447,3690412174,4761507621,927789491,1968331973,1727376609,789560656,232585314,185226720,2352569543,356943209,4421072152,10907201083
"United.Kingdom",8585402670,15765469537,4369654806,7458827364,7455127701,960136200,0,9787258620,3443051713,2674269331,409659089,1373035045,7061500058,2239690819,1242429353,776235736,171535119,2538261561,306882598,346330116,12370711296
"Netherlands",8824829232,15547499278,2457175270,4138864249,9730911127,1291038893,5560454955,0,1884674274,1207241376,301946645,481711893,569088289,1710976067,561288627,311291830,106352498,1580184015,578377726,276052128,10646037782
"Italy",4214663622,15540249303,2817176308,8995153400,8724810932,949066482,3299622850,6760858427,0,6641291615,623340371,408725040,2397246450,4422753780,734175920,891629048,202787657,66465982,204102389,253976628,12861906468
"Switzerland",4183504727,12116291472,1131708158,2675432498,1842507239,1097053471,2531749326,1203052288,5307455879,0,102986076,86338447,6567816612,1896397400,532343966,179969848,686834598,114129640,273778158,59751294,5047848199
"Rep..of.Korea",7149793509,3357323872,8157040628,1255355336,619441796,15949348647,831874388,561619057,757369769,614517846,0,666142961,246741414,320421237,670716865,267566586,68546145,1562829625,90207120,1280423264,6347981088
"Canada",35984322016,2532305717,3341164393,1368850424,378222746,1035500611,1491597962,332236743,858513863,2016421032,480967398,0,764192775,628815715,707358655,262758522,723451422,488477684,1056431586,280665673,4757889335
"Ireland",2593560181,1535925515,385542944,1240118284,653118328,392832571,3072551153,1480901999,341298113,885375797,123802439,175120214,0,262846093,219311435,118476497,34261844,90077624,26909410,10128499,1317655416
"Spain",4041727287,8274077672,2203854967,6730061327,3203694305,474103433,4154717887,3426948177,3746570922,1622903602,293076386,168870760,1872078087,0,685449931,221164845,197623976,177548849,340895946,212602141,9745566198
"India",4661627788,2567625756,10922792365,848900219,569274661,1594308092,631769043,764618228,721479534,848914864,2855932559,311805585,80443104,459893770,0,911071582,112420348,1751436725,174999391,1644143930,16095789136
"Russian.Federation",2591005188,7983635683,4142004561,3810194887,1475254936,1084103808,1538181864,1467592250,2071613840,1016867465,1357987378,154161741,640712925,839769374,1042464299,0,38078187,45976979,55037712,277614113,16077339616
"Mexico",32777035684,2638468295,3794667484,1218597936,335755278,1172266337,618600452,285435119,706410451,542850719,1221015792,1477108342,782733880,666994432,585923616,365179056,0,221355108,615320654,194802899,3547375941
"Singapore",5112021235,1359441610,2184105362,2166113643,322942607,2034076019,762641460,246690533,409351775,1395222200,1004115891,155196933,216973514,207438140,770376612,14836815,72993814,0,77654646,703074197,8380761196
"Brazil",9372407060,4973803873,4439022334,1895408555,898788020,1036377710,1289899759,604769713,1179662344,1469448696,984960963,1330031522,434040685,1119217607,1155547098,1872276996,1271723932,166109520,0,539837736,11276124754
"Thailand",2546633117,1252030328,4493208919,554149462,334990343,5409723032,373191872,286653300,359707239,394370014,1919274350,228099013,127115999,198520651,547048906,531722285,65427070,1695729933,104269886,0,6137256176
"Other",49223217382,77551370232,46964201513,30548746992,19906808329,16221977166,18972701301,19515609841,22466257394,15283809424,14350028900,3447612911,7069045808,15507027182,14753260839,16522627787,6477046407,9673160262,10351608194,11667174084,156364700132
