"Country","China","USA","Germany","Italy","France","Japan","UK","Canada","Netherlands","Spain","India","Turkey","Viet.Nam","Belgium","Indonesia","Korea","Russia","Austria","Sweden","Mexico","Other"
"China",0,13925816743,1398500596,3671047362,1278004064,5957011785,1346668673,4965866463,632154090,672642983,5071989600,487981519,2505201793,350852191,2632902606,3746419146,3755659692,366121787,825788535,311628626,27694470176
"USA",76305030862,0,1826909995,4539438189,1522319281,1258261297,995881134,18446881662,462883551,621884492,6993472951,1162747688,10597842919,271021941,7161407233,1901377303,137565250,215522058,234420391,7540225189,37138210031
"Germany",18308522139,1515225287,0,6889671412,4289232873,337398197,2092583254,228332912,4603151214,1413605200,2671685220,5088406961,2150675632,2279741757,1523552776,325888509,574721481,4490372131,3683021307,43161467,32698417177
"Italy",9057605620,1203138828,4215484393,0,4028666087,204900938,1145116828,270949124,1518120063,2412044914,1331936350,1680549786,509616074,1717941900,505290144,257490449,321069884,2217981739,983115912,46260811,17793985011
"France",12858431576,624554439,5173546582,7635234315,0,322647384,1302105447,150887386,1190221630,2772437155,1700096405,1759487759,1154071372,2838067727,675489834,235909248,124847412,669401392,957482492,26840158,14987819478
"Japan",43302037336,3062509429,482399924,2570008212,1156018721,0,334530074,1686609893,112743528,311838057,589048001,185641740,3722531521,71809793,3262720325,1122412197,554222600,325989561,452822388,59916821,10597516510
"United.Kingdom",14642624504,2227867699,3917986163,3247425706,2267404904,117239486,0,456633974,2240205733,1201113801,2887210464,2926791183,1163188494,2134608062,883122991,250091749,158355677,329259298,2244931890,33497552,14545271256
"Canada",9040166666,12255562985,275563649,556899339,288009493,95441269,221682184,0,106749994,98789431,594801539,191846315,681715502,63036051,424871697,195837856,26978329,85871550,28927670,581783895,3710832121
"Netherlands",5162290014,1051690089,5513660836,1485642873,1017423846,131291279,908116257,110296891,0,735595100,698134559,1053490151,474780442,3133168263,468822148,77926944,99866389,352699658,1313530496,19571663,5881337646
"Spain",6725180451,427091599,1419899208,2908433690,2185935162,32336369,445035721,58925203,712788288,0,1140125019,1781438770,843462906,425936484,407684355,146736283,27120981,202045207,444842466,24926439,9121627089
"India",3133935640,1141024238,427882894,279992256,200561784,193438361,260104479,310737098,107825505,92244531,0,50003002,138939527,90697807,371071470,363866533,223065858,63414477,268241300,12447022,4986854267
"Turkey",3725687958,1403787334,1224823951,1164785626,272761666,52758448,260048207,149322985,108882999,526561590,926018404,0,639643640,95480996,833722441,301507575,376617730,258648463,304731650,5630005,5815859539
"Viet.Nam",4836122897,727393922,83899097,172456271,40632772,1010236262,30894956,19210721,17382982,36521686,308465142,23736982,0,10199529,465315302,2277095819,22307094,10218307,16860659,8446094,2755162817
"Belgium",3940805352,606900479,3583142870,1211999596,3459342922,60080547,753152555,138867681,3546964070,531745085,566304326,690521093,782847085,0,757429605,85901725,99076250,254391015,527853272,36275271,5538710609
"Indonesia",3126495852,633826524,163854768,143201529,161674595,447337307,115478177,256063497,45101636,40262870,235205212,54979418,301538583,39305264,0,1624321658,42961765,42018275,169589454,12740280,3354386294
"Rep..of.Korea",8733271244,2045094138,185372474,1209828376,522291279,819350347,146540397,661105265,54551297,104749621,380465945,87299731,2197155497,22092363,1336439267,0,227806371,127251461,62375774,19995284,4160242356
"Russian.Federation",9294747899,257954214,1282074719,1387934668,252444210,101585487,187019373,56340877,181745957,158205823,360106728,1468446788,462143459,175772745,294955586,276102661,0,245814320,237466659,7326371,9124734605
"Austria",1920340117,117002077,5877669449,1450098777,281396317,26289957,154912279,10746375,300852443,217653434,268761671,438194432,254005972,145945797,124626696,20997915,57964259,0,395278557,3767219,5128042501
"Sweden",1625702845,187100476,1298099375,373025866,187056916,11613119,431333777,12915049,466324636,123289375,278083771,333077427,133358254,278630414,58241317,44203892,110602021,82621975,0,496882,5207578759
"Mexico",2738200405,10976367651,331558821,449751640,70547803,87037369,51226287,438739762,37066636,390832478,335836344,111334493,458367217,37123103,290279094,222976512,11940434,113207076,67578017,0,2888936622
"Other",72034150313,14170930430,23193580066,18123354329,7605498426,2586941805,7157363415,1663519924,3673765834,7745774401,9269651338,8762313425,4154177700,3679907200,6636499886,3433788276,5061550666,5686424874,8116015651,1191023875,75018264591
