"Country","USA","China","Germany","Japan","France","Korea","Mexico","UK","Canada","Italy","Netherlands","Singapore","Malaysia","Belgium","Thailand","Russia","Spain","Switzerland","Czech.Rep.","Poland","Other"
"USA",0,282434640679,75943927013,123011647808,23122341012,41923211758,181044687307,28906658895,112872909441,17314767416,9234541385,13237507240,20503688391,5959199893,14207123150,761607719,3878492141,12497445075,2617219981,3207580042,93489002629
"China",61116394260,0,71721104935,118008175128,14151338013,111881177581,4210939544,10758759468,3970905492,8226200503,2453388767,15539903393,39110311737,2818255697,17750297562,331385721,1761050350,19924592495,1919195656,685562910,92828190163
"Germany",37686193639,65728012937,0,24214327999,41330408573,8524878763,4701803747,22971802811,1885791331,25461259426,19087847690,3440940586,5136700020,10317667905,3000426284,874180246,12998325573,20239114462,27134026558,20035285069,111538308864
"Japan",33490317010,104125822423,14409960503,0,3327341101,14804261286,2291132093,3498325870,1052694135,2426990140,1324340870,4682675602,8233598130,665785425,10753358704,40464003,600741119,3251930393,394062408,421291644,23770294279
"France",21528763392,31952118704,63781587551,9149373091,0,4272658495,1187082237,10577842220,1665238714,17948981781,6268715160,1193319426,2248499588,6885675607,1228584636,164126484,14698326385,7310748463,5395474887,5180749492,38555540875
"Rep..of.Korea",21346296665,42587941328,12263099046,29105182297,2165691666,0,879606641,1710681059,639510817,2087649124,2621915872,6073374294,2849730234,264310743,1834508122,127668021,211880859,1414328993,413466173,344867044,12300337771
"Mexico",75774928010,45785793577,9119993171,14331944055,1690294577,10236518006,0,1330904796,4303589753,2852880035,324254435,1079325932,4347872582,419343422,3352462194,312387265,2034205965,877791933,528622752,436770292,14513619477
"United.Kingdom",32130112792,31031236190,47887603089,9826819359,15937413758,2929682600,897024135,0,2321505058,9594425475,17139273042,1637974176,1653207687,10904616438,1674340706,220182697,6760527424,3531247463,5156845057,5640617981,35917540710
"Canada",119115395036,31798330487,10124462710,12836159817,2052015725,4737587619,19818154668,3774278916,0,2259675083,559067160,707518436,1707667381,580496440,1242346167,54284878,359699880,1065937839,230820402,735171372,9187505041
"Italy",5790021383,16467538161,32364186504,2657199905,12119237438,2038549300,649570874,5714492223,648732094,0,9793708244,187101937,363149376,4061167609,440411470,96754682,5402384227,2690447855,2781333354,4818649150,22847146135
"Netherlands",15581554699,29286443967,27095189333,10113429190,6442723974,1576939377,1419127658,7110191257,442441807,3375796015,0,1816912940,4990452699,10034349204,1838952034,132686249,2112027433,1188830890,5794095368,2927665021,24829404077
"Singapore",26467449890,27555371463,7964237764,14593956100,4850496013,15624702001,1472177678,4640616649,865446389,2058109587,1729240004,0,19451103794,568075336,3712673185,30228328,311709922,2177749101,197419644,134040129,22526567343
"Malaysia",11331874322,19933846632,5538118282,12631238598,3378418991,4527093929,208119488,1253581394,293335777,1149343173,652145415,9528371064,0,339962186,5576965454,11265944,133006044,501040311,79346241,72917290,8540460228
"Belgium",9251053708,7927862900,25922934271,6616163980,14693693652,1052801906,1001850202,6480980575,491561748,4584833807,13194115860,245842628,354808229,0,722711950,66161395,3138695865,1633360938,2649318187,1899651190,19139935387
"Thailand",6359507445,22482036913,3664760744,31197192445,2193777163,3251400619,458460702,1193321286,244514648,1078727606,423674056,4166600210,6753050237,221669538,0,8293399,215365942,854711459,123068677,104836984,9803446484
"Russian.Federation",9603499391,30923043250,23963231786,13705798182,7616419115,8384086013,747480308,5438395248,1320992431,7448928354,2282566644,312119580,858829215,1777351881,1288515315,0,1930114200,1620785221,4112560048,3144042220,39294213344
"Spain",3985627371,10770214414,18273132112,3050808174,14274727679,1351044080,492072089,4423975940,239440487,6682608113,4224650103,250401623,280970996,1891375508,467893561,45137730,0,1215705423,2217346187,2070763205,15689949404
"Switzerland",4687054168,6534717665,23073794705,2287571070,4879875683,710918870,190465278,2973471129,407569990,5481775369,2309177922,451549140,339459621,1210967805,576422941,81417470,1225410389,0,1685480456,1017364441,8475975648
"Czech.Rep.",1974487071,12873529510,17393809709,2320426578,1923381980,2623026700,353287771,1218141280,77501151,2130913915,2772128104,668292542,749816318,561824549,1037106798,247883762,1010472673,700469632,0,3111133994,10984649912
"Poland",3004379973,11382991978,15782895221,2163779070,2988735841,3650097518,240169010,1740470450,337725522,4632443080,2968171394,711011590,461755839,1080512738,602785048,5088275074,1325430774,691896072,2648441086,0,12277525309
"Other",174398451212,277321889683,207096537327,108195849961,54381441365,76319502511,22213907155,49183538553,10580382999,62295836267,30778972796,23537010930,18398546845,19681882583,34168549547,14787276714,27178791421,15963441630,20666755744,19480316898,272933834917
