"Country","USA","Russia","China","Saudi Arabia","Japan","Korea","Netherlands","India","Singapore","Canada","Germany","UK","France","UAE","Italy","Belgium","Australia","Qatar","Indonesia","Nigeria","Other"
"USA",0,21306851580,301679539,54407980972,617081070,3071469369,4830381508,3261433312,81851853,103655361735,322511887,7627145700,1810889743,181689647,1913274218,2473418781,250999935,449007475,338535472,18868687779,196749333943
"Russian.Federation",271378840,0,163719417,0,45583664,91459316,87752420,9686757,4918253,16180011,323926143,83692154,16230851,8501,34777837,83681595,6534,0,63,0,2596719699
"China",2792399212,29522427911,0,44925796298,2107473941,11540278142,1768674058,436558140,5660445866,2069651160,157156907,255550960,72028191,8773876741,6987882,490868533,11985870690,6295437358,12046031330,1115798901,169670792493
"Saudi.Arabia",82306770,0,20536559,0,1381335,29769371,7772276,30883772,3465338,843201,16576554,12866949,8671744,38888582,1504002,9402145,0,886934,6168274,0,288377161
"Japan",3512762841,16099522857,1279592327,54139202881,0,10146357021,3758431,2649657211,471330968,2198012295,24660847,147550151,125759815,43311714462,140216188,263413595,34616962614,35757458993,17305109054,4654721969,75197211044
"Rep..of.Korea",2372677203,8220223858,1399832110,38261233072,2426180925,0,147564849,3831268783,1593790827,1920001309,53950391,2812473938,7470812,14529622227,183832273,120002955,9485576334,25117886099,11229294121,1399397547,60837933039
"Netherlands",4991266474,21408222338,69975448,5365627187,34816428,915881427,0,2592625778,951273204,325617731,6222547723,13857721811,3959905035,736562009,614035615,11753188597,150432062,399173601,54945327,5283108944,34837915598
"India",1869823394,442479183,827698630,29182791812,344547580,898069650,46266785,0,1161827658,322775081,35591380,58764459,23211989,15431945524,34079184,16120874,6344647475,15185093062,5634937360,13799332615,93525725321
"Singapore",4003423281,4048007730,2512046882,13211316464,3223421837,7694339536,5398232532,9303823778,0,11471437,20369266,205416131,129276449,14660523766,53274756,16005168,2146764361,7300370939,7650960939,10,37594634195
"Canada",17503890545,410632951,3589432,2826382786,53109157,158040726,2132063886,114007205,161735439,0,68167781,1466677287,110628256,120694134,5573374,323442397,2040,146674064,293329,1966919046,23842882829
"Germany",2647594038,33495925842,119570862,1591416582,56593337,69947415,25952083447,45279117,82631162,568521345,0,9521198064,1868338528,57832123,516199018,5369131004,1112906126,247126153,7142910,5504408571,38010465359
"United.Kingdom",3358697336,9486272160,184964029,1425305658,3416752,392085884,7662355565,662170769,81978132,456653435,801200339,0,1295335957,818866439,241912980,1870337406,546929399,4344576150,72928,5868646055,55850703399
"France",6391047999,13510939197,40537911,6766388220,33955507,522171114,5049140084,1413396029,742671130,758913828,5173421347,5548889961,0,1190182176,1770562025,16372380704,926877951,900428840,747777,4686741094,42998066881
"United.Arab.Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",2509826383,20180408546,11757131,8350201787,33461129,23576905,1603999480,487361189,29961661,283099329,2243515695,70133734,2424858492,284949842,0,345546144,388326562,2921489267,453250002,1949448687,63239143505
"Belgium",1642502468,5645548742,2676945,88912095,1322502,170353008,44117733714,405025224,18553,99221740,1923154172,5047682936,2425442798,88348937,210172494,0,432957269,1438462639,363,270,13050813888
"Australia",337599997,775094675,126772115,188596466,1545064041,2844357161,100999695,168942493,9983599035,4235720,12872272,78270805,5819021,2805551403,937372,8940413,0,259039967,2872962333,2723636736,13717857425
"Qatar",49369059,5205401,20158881,4555467,1404837,4337160,916442,9994703,1037566,313522,5035678,1181755,2329023,58531054,1832861,2339666,12779,0,143650,455,159369990
"Indonesia",138075111,728387768,453483265,4154209750,64757566,3684858768,1995483,299744341,15467017062,726570,10503166,670900,29205163,1288597824,1708110,4231714,219260385,1231161553,0,2734999801,11748450561
"Nigeria",144568594,32877645,6813862,408852,12063,331213,8182059,27861580,290281,0,22528314,8309773,64241479,15879367,69452610,202345195,870721,0,0,0,228809493
"Other",73897671927,175313068099,3512339212,50747599625,1157105313,5972886364,15713670788,13584720147,22177228107,2011475821,20852264767,16262991234,8359770835,33031205929,18258958091,6470941047,6086787235,8348929350,7072524341,32205472480,297808124155
