"Country","USA","China","Germany","Japan","France","UK","Korea","Netherlands","Italy","Canada","Belgium","Russia","Mexico","India","Switzerland","Spain","Singapore","Saudi Arabia","Brazil","Malaysia","Other"
"USA",0,440351801684,114338453118,138574359561,45808592442,52749213890,62432155219,19232075709,38704115514,331016249340,19011553033,27085388010,280539036305,41808416858,28514353871,11667118151,17842838498,51806539089,27630989084,27289247003,444802256157
"China",153394862034,0,94156749710,162245572780,23119289346,19078787545,183072918422,9824959200,17573805100,25236970650,9848071432,39667828205,10238485563,16970269592,56191550342,5971877584,30064514713,53450710541,54299122653,60153183872,589828673769
"Germany",66383922440,98725257567,0,27472640703,84268914066,51474883299,10680799313,106688347092,62776873240,5567557774,49526409166,39031409120,5217777815,9276533683,51945479295,31547803537,6454047633,2254660500,11765280835,7555645225,399203409090
"Japan",71958767382,180977514210,23830400736,0,11669664206,6570020738,35822436154,4509154599,9544093579,11965833693,2485461042,23653100272,4230382359,7072378317,7296380560,3746765987,7455741369,49856199035,11135991961,29745061750,303691229128
"France",43526005679,54221962984,115130910994,10936018866,0,27602390804,5162134507,29257928081,48154718274,4369114350,52709193461,14051153859,1918512915,5858774477,16986011206,40939305188,4141564165,8063900336,4536907163,2598177046,164705236876
"United.Kingdom",54494353554,57587864581,88849200741,10966684207,40823511673,0,4708802310,53787174623,24719488930,14897425186,31530315626,10626303755,1531145535,9669236541,10399991223,19698864082,2676995789,3027609166,4478392401,2611713331,190608161858
"Rep..of.Korea",41762164040,83051449607,19335287526,60029172942,6016571643,6193426099,0,4213702948,5383459002,4716007528,1585905441,11495033703,2300461468,6180151673,2724081329,1597017421,10369395940,37665213747,5573117081,11095820740,177223577896
"Netherlands",34592462091,42060625144,83975513118,11170374055,22725282373,36345854048,3791770645,0,10658183021,1469232840,49411764014,27096355322,1696688169,5432212884,2835864057,8678282818,3537064722,5033211147,7217286585,7850960010,133570171052
"Italy",15315645045,30634044332,70767315798,3406895432,40512971285,12841571733,3132031856,27471660471,0,2135029642,19943669059,26818515040,1210022303,5276665973,14135721388,21716943161,302260855,7302713271,4261362183,983510156,165896267187
"Canada",240630490423,51204492760,14954864023,13335937536,5228069567,8182015849,7125578190,3282677853,5660874789,0,1766822318,839902077,25919525402,2890469243,3852469033,1632686565,1260483347,2623120825,3523615788,2117335062,57473001355
"Belgium",33873701693,18514316668,66426336569,9586278262,51116958203,25657095142,2944726358,99783765282,15243952458,3699827997,0,14863925220,2083010489,6004577071,5565923281,9393563721,5719434037,2011246702,3408190078,992780482,108392934748
"Russian.Federation",16717711021,53173086208,37904568530,13560499944,13021467979,8106431069,10305436125,5837158201,14553947804,1795854683,4034002198,0,1047560970,3091180112,3009409040,4914629599,552978930,288623225,3492845076,1405624270,115541604342
"Mexico",187758443992,61321380499,13460987486,17076115400,3690618342,2508027874,13492970835,4202176581,5620777976,9847045073,990565574,1212012415,0,2868176640,1736113819,4311071460,1456424773,465039455,4420606026,5378999755,32152056199
"India",22600340825,51635443598,13079266248,10489823796,3375236982,6430787112,12426658949,2865990645,4237648996,3005949597,10071885212,3814120042,4295381663,0,24659313217,1940453055,7026636515,36596585479,3831840605,9330736889,220393050803
"Switzerland",24363943984,12334781773,59805448884,4026540426,21263954904,69769723331,709276221,6409688145,24878023372,2789066514,6055686654,4736409324,1976233477,1662291722,0,6425423023,1448931085,273852526,2018995533,581540343,65365627626
"Spain",13571598041,23059557211,36850507190,3197555088,36209385201,13075628560,2123198094,13085971766,19388807345,1447664417,8490326206,10933611170,7316842082,3217061490,3454042914,0,537923899,7762513291,4271472733,680119392,118191736274
"Singapore",38856380611,43689141069,10872661868,20386923635,8098633726,7960527070,24029919527,5718944088,3916547483,1225446053,1642728891,5232643915,2442568983,9122995303,4356012817,1052222046,0,12862428656,1701540021,40829444416,96474683242
"Saudi.Arabia",21565979202,20890184231,11854666224,9345580395,4659692379,4146857577,9536813914,1774842612,5334827276,1515390218,1087922747,1688548899,1624657011,5771802874,5102134173,2042283731,1625957534,0,3311307878,1267023009,47394541305
"Brazil",36280346302,37302150042,15182002770,7081664858,6509358712,3614591420,9491255833,2344607031,6716928480,3001539907,2010122651,2676065591,5794777800,6357300153,2951946273,4486373608,1093075855,3194221943,0,2211669506,76065990285
"Malaysia",16087775287,33728561364,7270555628,17888704545,4274414765,2321981512,9710622072,1716413345,1863975166,1000627480,996036561,1176765872,329511370,5188395481,1888028279,591164751,25432067723,1974680719,1802517862,0,55496191185
"Other",289544404194,486541001196,440080384035,160885825761,131997313482,118106537039,118888282059,101633161781,154196804118,25714640870,71076643630,232818920886,32904303318,81218794384,65260527240,96595946680,75317841882,67240711003,73636580755,60497407654,1260111683189
