"Country","USA","Germany","Netherlands","China","France","UK","Italy","Brazil","Spain","Canada","Belgium","Japan","Russia","Mexico","Indonesia","Argentina","India","Poland","Australia","Thailand","Other"
"USA",0,1760588345,2243264421,6939810670,4426648300,2529738748,4033814062,4544459596,1479102230,24732444449,613322462,759194734,392450376,19194206848,2794425404,1772046039,4351069556,397596457,2706587333,3499297304,34890830719
"Germany",3502866533,0,20407067529,2230863448,8965466412,2204657171,8149632587,3806176959,6189169821,530586236,5293983196,109540033,329677071,213975272,1138543009,1104094578,815531525,5960868205,528149074,644816171,32360931220
"Netherlands",2224095382,12920908146,0,1142565258,5035857672,2729350439,1592739907,4891408970,2329504454,338608240,8712783116,57030898,161992037,198289641,1703692463,1429711357,491582223,1566243714,429442135,555659960,18209575197
"China",22454549159,1257252409,1228057488,0,2598511184,325299670,406529022,22192553081,571644383,5458712189,158823896,427650117,1564970727,144063322,3428458048,4927870566,890085973,207719841,4121639523,4137119874,23330692018
"France",1190991939,7431573878,7710377046,745126030,0,3095743035,4760230685,1652576490,8369054919,282642788,7556673007,60973395,200359000,127081701,272197303,495934472,686298070,1606439782,317297741,407113459,15916801287
"United.Kingdom",1897567829,6052550447,9758765069,1043198570,7559983875,0,3567575567,1468569035,4179663098,506275958,3617230710,45894182,242785407,202765022,368771846,836808041,779091936,1844660002,684593083,1140529312,21425949095
"Italy",994023287,7941689887,4840578539,522442839,7448184052,739205873,0,1209467777,5212291915,380929326,1530482967,11321745,331031275,115555543,1151166962,890824449,510083011,1420427483,178189661,362383340,16079095284
"Brazil",1717003880,166883879,243034304,853794109,219630083,181447037,217225309,0,270745795,173945753,168154185,9939212,16816623,76107059,310593879,3259374271,76357653,14450815,34213880,49963082,4171224543
"Spain",1833643521,3117719045,2503974917,792951273,6063776555,1578054231,1486774929,2157763713,0,219588705,983264366,10425033,250498876,192589554,655501189,1263638784,321048476,507677549,20299652,114735322,13432181079
"Canada",21586740797,369321762,321934447,1112540268,869506600,471965626,923010553,753789914,244621032,0,217118563,85352649,87514397,1510158266,139026162,248010815,398286273,72684640,423997651,647326965,5369149131
"Belgium",704661284,4913643131,11593851283,354631827,10121203546,1277559606,1378670185,1228497440,1403473895,432406231,0,9743672,151990962,87999815,195647465,158758019,363644738,537743561,621680918,125920411,8347700864
"Japan",15476809197,915558432,2534706829,9889655492,1845141297,364655992,1003170154,4198462133,684186225,4605922370,242847399,0,1246709961,980490319,1303056579,1343340906,1098374757,314930074,4434822009,4200532041,16809287227
"Russian.Federation",1727614217,1997934109,1972222014,1691254630,1585567997,621460758,1440134440,2936143060,1294117627,458752482,574996455,25869446,0,102741310,821509231,901059409,533242542,1624620228,342105164,223214710,22130394001
"Mexico",18754696122,89205083,170748663,457726575,268382165,211838288,133138900,252133680,327111746,1916126233,28454104,10986678,53424197,0,45592205,234933796,81661557,45794806,73136686,53680475,2825750692
"Indonesia",2558875811,113368546,186564870,1556998556,161048961,41868548,59589558,1345812572,11296432,673344560,112309442,51226464,81074494,16413720,0,1625887239,1215914868,35978025,2719800739,1109233728,2970414406
"Argentina",137761538,32378409,32694496,51014373,31230104,28546583,28001917,519872306,33018601,14450673,4977189,1253345,240653,39365278,22334405,0,25240734,2638843,8130045,36332798,821148368
"India",906331585,55244497,68509575,318523380,86070001,200098011,70019048,759359364,55634164,740591034,16809919,6532830,107426401,7667251,5303540074,932032526,0,4318776,510365683,289557254,6801199306
"Poland",503074389,4223602019,1502979893,369135367,685546896,532571085,740737906,342053765,1009830603,39773974,615348491,3918491,118909997,28302574,108418195,670907200,114087737,0,12223331,55025300,6992297684
"Australia",1471393881,298149778,401907348,961214725,486968478,486148397,532132411,117002229,189684799,197399663,109808200,81245941,9880809,191967500,231077853,392245260,220711393,59332138,0,874546621,6046601861
"Thailand",1742298004,187663176,202522926,1407309080,253059460,235071940,103248831,1252934744,77869637,151941120,82000947,322877388,45940092,24211532,637172640,923345440,612660629,16102950,658426502,0,3690032020
"Other",34895676961,31518229695,20723327159,14083472629,20907718580,12585704354,13390121300,26891813976,14894594932,6154974297,6809773592,1053540625,11680889609,2283237624,10282879941,20517772648,14009125457,9755739559,11449447443,8078790290,157321298176
