"Country","China","USA","Germany","Switzerland","UK","Japan","India","Italy","Australia","Korea","Belgium","France","Canada","Russia","Brazil","Turkey","Netherlands","Spain","Mexico","Thailand","Other"
"China",0,12318164266,7200606588,874657696,1931114850,20776240480,7110873852,1424865574,66142214914,12602082487,3244480971,1509673776,4646471565,4690447442,23977588351,2939308649,1017044687,1317824726,3274045985,955453308,92841764526
"USA",31194387754,0,7829122095,2220459851,3327160920,7515419283,11963671741,4637128589,2005963066,5615962596,4680903806,2792592244,31704160561,3641593551,5261228838,1713383535,941978771,1323403692,19888014527,2732145112,43873348824
"Germany",7660882135,5080740648,0,9113895853,5136929817,1289788555,1109581004,11054400096,850925711,795032011,7992226656,9354587948,1743896563,4295245343,4406989724,1776979596,9027069815,3503619738,176164347,785574215,53095695080
"Switzerland",780170566,13950829210,11130243305,0,63779186769,1100599828,288557892,8751168781,589995129,44467026,2171128354,8160930345,2144934200,4275654725,1261694826,348801385,373410457,1855812657,587202049,752644552,27860718549
"United.Kingdom",5077849522,6380148071,8544860136,4485498908,0,1430494338,1311541275,2683129320,1677099927,468902461,2243045043,4136591483,9375494970,1233686535,1698911397,1081180008,2088082974,3046047498,189319720,339883121,17887693258
"Japan",12476413273,4445199522,989165812,423299157,553609101,0,1256312319,439287282,13902562235,6393563545,258591670,781451657,2169950604,2184430300,6018386140,35729366,80297659,305001904,651750572,2217511020,23858444776
"India",5659440624,3625137700,1696901114,22704736153,3736999639,2369692232,0,674213101,3885171343,2648048047,8577876404,456286899,750649079,2122932826,774692638,210340718,295007353,218162239,101730225,912194093,36505736975
"Italy",3343937064,1853699734,8970191803,3463036725,1385092906,261257768,986777276,0,56732899,715406640,2218528191,5290684644,497960841,1660003259,1349745351,1300360131,1950572849,3045398902,278436607,164732127,21383427269
"Australia",5065833469,1385152331,598428069,673906229,327140451,1441739077,525859614,524385655,0,459964340,94332453,185598460,197446812,8331729,24251625,134769030,86300051,209532427,103849281,1308383551,7424416164
"Rep..of.Korea",15865636010,4707709993,1640700435,479083817,604268896,13286601166,1167598409,511789445,9189410338,0,273203519,744925959,728367105,1545393104,2445538993,82329582,305239784,255065149,1015734252,483399710,15308087887
"Belgium",3336051115,1744562816,7599141363,791598628,4521623614,318563507,3071936222,1413569628,843791852,365693041,0,5760193754,1164705151,5128491940,1025309466,556125681,6853251859,923874640,290895446,376782436,16981390547
"France",3518847872,2139903351,12120915177,1735461558,2694997837,408559517,458754218,7920375590,106356942,200692475,6755985679,0,738736999,676066873,1396982167,728995090,1944171975,5262469801,79421452,295999666,10749715358
"Canada",5284705820,27051781652,1007464537,263386838,748670535,728832343,594090727,675996313,520738245,733161926,156978371,345429040,0,137845572,486400119,635724581,110646225,199269728,1690909259,293381674,10861916175
"Russian.Federation",5765136260,692222623,2546108335,137230238,319862971,709602323,325260729,1258551147,16655326,748660002,441441046,589940580,90750311,0,196837830,783547364,205400499,527639842,58432288,162771740,14008321576
"Brazil",3740765892,1621196257,1031259929,79413510,362496393,657339136,256389026,701161355,54211541,600798233,154043570,459287233,97807740,322527666,0,315774603,93560783,564893639,472174735,108808585,6572903532
"Turkey",2456459842,2720716890,2487035884,7782498113,1737112242,361240302,495404224,1559901375,880582316,581660007,928578036,1314201614,511081975,4421996454,461103989,0,728959027,1375524495,55194584,56593107,19376067316
"Netherlands",2110383022,1017551884,11281105873,113247928,1864171675,396595990,319943642,1325706167,95739699,245255710,4683804598,1662986742,144452659,959924517,307441254,352771672,0,570942827,46974075,108856295,9383926002
"Spain",2284226724,938701081,3699977212,131682073,1761278531,111505927,409314198,2837412726,186612805,200241610,831697122,4162104095,462317071,539846523,792663253,479773554,1262599065,0,89989258,68702374,9773410521
"Mexico",3607672018,19656688718,1349719894,87873133,203442374,1814983701,467839426,858208783,70498615,1137756402,121693601,296050671,1553450841,272561253,525821044,115975140,151114133,520436615,0,84620376,2039701958
"Thailand",6113169118,2237065206,816108035,7916099362,1250855389,10881906075,1297458290,327608137,2476006497,3086891107,1237424927,185942377,198797587,936143140,156105827,141853236,60144942,102219633,168962193,0,7889437269
"Other",60570050999,18278320066,51270469651,14884787629,10974173066,21462032568,11912293674,22338273968,6770566979,14166177619,9816692891,11699696184,3650457568,20536780569,9700098744,10982854384,6679813525,14485790104,4269183547,4416373858,156568122889
