"Country","USA","Germany","China","France","Belgium","Netherlands","UK","Japan","Italy","Switzerland","Korea","Canada","Spain","Ireland","India","Russia","Mexico","Singapore","Brazil","Thailand","Other"
"USA",0,22314906939,30625204618,8160960692,5027286852,4669669472,9482169697,12216514574,5212384784,11029158312,4983617911,33562469236,2442485196,22447760343,8343204207,2540806991,9519361312,5319892868,2222090603,2817446600,36420497633
"Germany",15853794101,0,6856283378,16486057295,17168496353,23980407341,10574058361,3809515810,11382574154,17628842766,1209788494,731560270,5064725719,6486262226,2052093596,1267604171,417176074,2698880504,745584380,682413278,38912353231
"China",20412411202,12176659496,0,4241474916,2468896550,2047786781,2476446746,29326649674,2823312157,2141932670,32919923987,2532827283,1557539947,1096711697,2235356526,2669511041,503197554,7722684127,608650715,13319669053,43840934856
"France",9898659594,20987094389,3684253293,0,11420639057,7704233831,6285668073,1663903754,7213920103,4941139911,388423134,866516751,6130947495,5913709995,731547458,673965895,186985582,1797935098,206827005,373030763,15942794444
"Belgium",17403817298,18416419362,2398973810,12211575224,0,14886191748,5988343872,1998409904,6073986561,2697842718,535629540,1256933589,2077808070,16178130840,724679510,740015619,488776492,5211068949,481569457,359972651,13410062844
"Netherlands",10150729184,17505829910,2594959512,4856605652,10167490774,0,7818455578,1544788563,2106819413,1211526240,465146797,221089956,1874516078,824531452,585877579,332932309,67415172,1648057894,651937044,295011232,10485552160
"United.Kingdom",6605182449,17017013797,4646844330,8140264959,8242224300,10471509980,0,866363849,4261123753,2650987231,453056301,1205801902,2455007317,5495077895,1327820106,621052376,230974018,593612102,241833771,360328706,12198650399
"Japan",13918665180,6973443272,13761375977,4358866668,1139172721,622611030,1967575036,0,3012591613,2914255821,4351772925,724200830,1534736748,1680037814,867865708,127688589,254917827,1972437592,236830906,3946375695,9977827908
"Italy",4015546028,15871022373,2889951556,9339731766,10177313819,8155123358,3263373048,790713088,0,6235159815,760850335,99483336,4206138529,2933296030,859826531,1036494963,219120942,43513261,208643984,251888535,12581715836
"Switzerland",4706552387,13246295345,1188465471,2770094481,1407337288,1212215547,2664252195,978200365,5378478688,0,109279609,94594837,2100702831,7015856345,608504476,301709600,1156863550,450628083,150246656,63747667,5347652618
"Rep..of.Korea",7532988298,3348598877,8474067916,1377837396,707773741,573550234,791582398,14785150287,770194632,550625130,0,512350747,378966268,225411758,670841724,422394560,89783922,1533959351,104340721,1182211524,6160523204
"Canada",36128070745,2768738272,3508773429,1404391603,373702486,442053504,1322970590,1009258664,862936308,2317160045,439678077,0,553093090,838801265,609880077,260075780,799284631,458182444,990162801,249152219,4622425280
"Spain",4677285166,8568261547,2414210072,6769964018,3697338895,3285153615,3616091584,406362584,3864461197,1732326203,384053109,174122678,0,2225739760,650716265,203431564,233880197,222074048,367541486,249348134,9705109288
"Ireland",2679070633,1586565439,398254409,1281005352,674651831,1529727778,3173854078,405784374,352550813,914566900,127884240,180893979,271512207,0,226542198,122382700,35391468,93047511,27796622,10462441,1361098910
"India",4200828868,2579500326,10912107947,810012755,683103448,714342567,577172092,1494607055,736957601,720782498,3333277290,478851726,519266991,98725046,0,783173596,134099844,2474826196,196542109,1571707755,15172026157
"Russian.Federation",2767910192,8563919377,4324086450,4107480734,1483301053,1443218601,1750088267,1080809631,2451508284,965260375,1353447906,182296518,938861615,627518127,1081418516,0,62834532,144004059,54821052,281628980,15856237535
"Mexico",33790977230,2736683203,3996140601,1288689143,362138082,273677054,561331092,1132994539,778035835,607519763,1279009629,1496004790,717031983,829635674,635156032,329106475,0,166121145,699152750,192114245,3357209342
"Singapore",4803769395,1389741494,2257525413,2125309383,363106967,429603077,821855224,1877377339,411418074,1210242539,711242604,172891368,247864362,170764921,746588086,17042997,69044594,0,103324224,900960684,8125462090
"Brazil",10683020363,5292054409,5392173824,2059094026,983844886,585646067,1299724992,993004223,1228722978,1609960828,1054993075,1351034836,1153044961,386545869,1382216468,1918557055,1319174791,177435998,0,546688765,11559330080
"Thailand",2450693439,1282074104,4625031195,620750061,336123889,258097392,390623410,4963346113,369382420,396133695,1874490990,228221280,192675805,104839457,571069869,547094147,42312656,1688574618,84319397,0,6011905602
"Other",48129504923,83512020164,50995230522,31354160536,21153729433,20667205605,19609843567,15175485531,23332912754,15740346881,16559022910,3369722438,16808036155,7360430923,16109925235,16437110385,6319518304,10014118945,9782798244,12259510003,162752811282
