"Country","China","USA","Germany","Italy","France","Japan","UK","Canada","Viet.Nam","Spain","Netherlands","India","Turkey","Belgium","Korea","Indonesia","Russia","Austria","Sweden","Poland","Other"
"China",0,13793408747,1388949967,3929507261,1321250215,5361657473,1375578414,5462147148,3317984822,661033450,596686889,5350066082,607957871,378713269,3738591536,3102156383,3560238626,409805622,862273105,34722022,31161918425
"USA",77877065539,0,1898685628,4927636269,1598245724,1158487936,1010698605,19992506236,12465092065,605389760,445568180,7531537925,1238395569,279584643,1955007877,7489950959,183395321,236614270,254879820,139081246,46597414303
"Germany",18865493622,1515981666,0,6587243767,3998024479,333007254,2124783852,218981179,2410893786,1458106405,5349044639,2913967670,5442946502,2124499509,355925525,1490735737,532795788,4397361079,3878668640,4253949044,29070658838
"Italy",8706204344,1297608162,4395614031,0,4228018180,201495200,1218306766,246941910,550548607,2592011605,1658002740,1367227824,1840875343,1702449173,271096824,508682237,393171440,2270326456,999188212,607388749,18571398600
"France",13304744855,635805645,5315040737,7996685451,0,250764912,1358051399,127041841,1240586348,2868996851,1357097351,1850433826,1949963068,2874389290,239495003,599164739,128816589,716708533,958574453,883400477,15128341635
"Japan",41156721614,3114758961,478494514,2628569863,870590612,0,334000178,1838769316,4276333363,292920547,82735644,569034501,186140943,68551622,998725280,3326988162,602317375,400018321,484210781,39278618,11024519771
"United.Kingdom",14977992408,2342994170,4205756163,3928269232,2583893614,98570342,0,519958972,1226448646,1342737908,2387826108,3093612666,2922877958,2146806896,236823368,848520118,148922190,433782150,2279473045,626728227,14828793920
"Canada",9407616786,12226005215,281483804,604402777,272324652,88870695,232953101,0,867426684,103329523,98365362,641111146,205262536,66662524,203991355,461102660,30406591,78359988,35560635,211361029,4411998774
"Viet.Nam",6046671548,1009176120,107252095,232574243,46397509,995457018,31847945,13353747,0,34338610,14296436,454141831,31503237,12234964,2704414941,480847035,32593841,8698514,15200908,7394036,3144695773
"Spain",6692258958,408622333,1536077825,2939210592,2419145606,30015210,471104217,52598189,941583180,0,755339255,1166678640,2061563905,586412676,153076790,321359341,37851590,273245722,471538053,164152018,10017660130
"Netherlands",5174130563,862044777,5986864123,1574973514,1117249305,128251261,1298232589,114143991,525697083,744421091,0,741105334,1163686907,3429939441,116573351,454464304,111015706,313051874,1225431703,653289786,5708571419
"India",3453282603,1174118828,409449620,313825318,174501198,175041054,252630496,365312551,188030937,122474881,102055245,0,66043262,103503502,348018199,406547141,200918990,83767751,240691868,17809059,5078309146
"Turkey",4007139490,1636139813,1309137398,1278804296,255660270,48320401,241040159,155364055,649382382,506921352,122502912,997034622,0,133711634,340019039,893405306,400832388,242892905,293987343,137022424,6335258423
"Belgium",4345722956,777617117,3827831154,1316844912,3749059317,55830864,752203132,151033509,937663464,582187520,3906706262,689542920,865498278,0,100467064,796291238,106980345,258028650,555972669,321481560,5932936483
"Rep..of.Korea",9378836927,2060003304,226020328,1340109223,494779979,853300171,153347813,632744446,2959863721,109400534,50448145,437535054,91294400,20836570,0,1577559104,247550021,107572684,62544290,13813475,4563125059
"Indonesia",3304254781,752658183,192742914,128596540,180025502,474262468,118068289,373639003,357176730,52159029,42114015,227606268,47260430,41578042,1642668726,0,35084528,59806420,167567115,2749987,3372041894
"Russian.Federation",9856085107,320296196,1256150713,1454269386,251049597,95919818,193185092,68333479,595561039,177148267,172514728,447981183,1404684019,152201979,281581772,337537550,0,225367306,248665299,624652618,7852062249
"Austria",2017402352,128345041,5989195250,1553079107,289341055,20978806,158858091,11507361,281594105,241493284,359609353,311551982,468360075,143061068,20604060,129032693,65488506,0,396256421,304584184,5426090745
"Sweden",1717461462,174783243,1267396568,421746604,184220217,11880088,419484357,10955170,139287761,128693106,487765347,286936807,352950487,265015721,43837872,54402592,124500413,91861680,0,609474728,4859628188
"Poland",3151710516,244437369,3842973080,1128019720,447100399,43167191,401461194,21941607,250592988,223698927,502153745,408569302,633895541,374410474,129778901,155607559,180732002,469182409,623100565,0,4691996037
"Other",75779881231,25721829218,21807416313,18733196311,7614835490,2844455340,6959271777,2113221901,5432977672,9377529376,3625399251,9684337947,8719811341,3496395049,3537055909,7034794837,5074510839,5820695757,7691282917,5202096669,72057945441
