"Country","China","USA","Germany","Japan","France","Korea","Mexico","UK","Canada","Italy","Netherlands","Singapore","Malaysia","Belgium","Switzerland","Thailand","Spain","Russia","Poland","Czech.Rep.","Other"
"China",0,81575691008,71951926955,104491852967,13375293857,122826431190,5297761962,12739247152,4966098090,8951441186,2859948994,15769755320,40265735886,3362405942,52925394941,15534470305,1842395738,302580920,825457523,2098657576,94393522081
"USA",293350056751,0,80106091810,116249644053,26838736978,46230581315,189400889188,29216968785,111449196428,18772313912,7343641299,11252551915,22209681818,5620342819,14030229410,15055815632,4054152299,869151760,3421559323,2681271304,97358953235
"Germany",62924945365,37624569054,0,21844220975,44198561053,8247079579,4201436209,23872213030,1962053594,25244318095,20245105727,3507725600,5673260455,10660888296,20620758144,3242177396,15127554321,896848867,22318098625,28106975379,117164413919
"Japan",102576885417,31453960743,14443250796,0,3734673672,13076370674,2283771645,3323854545,983934760,2412456879,1021778080,4059017294,7690191459,765120046,3239745805,10207858632,596621736,29062753,522368782,494868406,23035644423
"France",32936773110,22446804514,62258039784,8456506273,0,3728037020,1492510998,10104003190,1813543072,18878800633,6548438430,1622979037,1880199315,7213477847,7551305182,1433111991,15456087401,356334664,5230453308,5570363315,40104702727
"Rep..of.Korea",44190700943,20447002066,13672563987,27364165042,2849315936,0,1107219835,2060327677,758214500,2186185325,2860336250,6444848405,2902009399,358488145,1577393435,1829743833,303474718,78929623,582404365,417736110,14179144756
"Mexico",49980903112,77938728189,8915662879,13998786244,1752415639,10791367637,0,1407690313,4310720057,3133620897,303955624,1235374406,4997068886,427109832,994385430,3875814570,2154492968,537860887,484979389,699713814,15970101146
"United.Kingdom",31831302787,34179204729,52387845268,8364783708,16705234882,3165096105,869723745,0,1927599794,10129876315,19587094470,1556587596,1553224924,12031195561,3006180071,1554485403,8378704267,266667398,6519223909,5421865153,38236043294
"Canada",31868933364,119908248153,10479397053,11355090576,2273214599,5619149182,19781223736,3715347912,0,2585758684,592951460,689965761,1638778396,764554259,1032419587,1221845811,353113480,52700013,775917897,228658121,9474338055
"Italy",15087852165,5532277391,31215514295,2125156598,11859959424,1327047332,550446088,5776622946,542590507,0,9660214785,172151697,345034718,4060496840,3028107921,526490544,5389162727,181999377,4719575254,2826259046,25637796288
"Netherlands",30984777128,15836129935,28456088094,9028744441,7118934374,2143284557,1290490791,7357704124,421248047,3487984559,0,1612116077,5752715137,10620976542,1184055107,2231751442,2022897591,92744402,3002165006,5126067108,26082597588
"Singapore",29745925960,27025577011,8248417974,12075051274,3500220445,14740191651,1379821718,5429997469,809170619,2214260305,1479526318,0,18794827977,593019408,2127875224,3653233563,267335060,12686618,161079382,222364601,21344067851
"Malaysia",21643700896,11628117026,5230864467,10483419586,3430553385,4190068591,233373525,1379657956,307688323,1222116567,688925575,8022343387,0,198328359,627179720,6083676507,176361838,11775307,75022080,123637698,10383662601
"Belgium",8076683510,10083025639,28542467110,7201202053,15245530240,1556463824,1171396491,7678744607,501734969,4782129113,14412799485,404558194,480007502,0,1753459417,961769130,3643175946,83176501,2284296895,3238771972,20882270112
"Switzerland",7594889205,5161310666,23408357750,1896178437,4800839029,532265226,168726841,2832997642,429685318,5459669359,2212225444,410829132,417705027,1202698240,0,583278617,1372350736,97163043,1039021271,1613952687,8906268437
"Thailand",22845031977,7286488778,3628055643,23981018929,2838799195,3137288782,495052709,1252299327,262606082,1344157886,459182096,4579737432,6940859834,141436251,831021638,0,266661895,11518733,115647853,123627220,10218151508
"Spain",10856979306,4347285614,19641183652,2618309844,16276828454,1350833217,457554042,4684465073,300829747,6966010113,4605723638,270547609,265338695,2037179718,1196052010,454944639,0,25710327,2414236234,2593699684,17452799901
"Russian.Federation",31418735922,11057787534,23303666142,11596728095,6469433080,7685762310,812024071,5156552596,980955346,7925098023,1975108123,336511576,857474791,1277983004,1559207052,1321091016,1969507209,0,3576946785,4040679566,37487213374
"Poland",13118828118,3255917667,17620973256,2213271439,3044049298,3259091414,253241781,1941262395,146625622,5137245930,3174454827,835557213,460704980,1270716342,685977207,695721085,1749326685,4264278004,0,3065791359,15190883015
"Czech.Rep.",12608367605,1982640422,17793740890,2208874477,2052246841,2493939279,399345313,1331605966,104012148,2327069346,2540037576,551993853,694486961,590169401,669045885,911364048,1060136965,265835425,3394777736,0,11812751317
"Other",296642393431,162359366109,217185031599,99201518154,58523977071,79598614519,21775859718,49468093580,10581924416,67205614622,33328987917,22768572313,17663623324,20353462938,16493471063,36709494243,32480353288,14868287463,22728339735,23434355405,289341445666
