"Country","USA","Russia","China","Saudi Arabia","Japan","Netherlands","India","Korea","Canada","Singapore","Germany","UK","UAE","Belgium","France","Qatar","Italy","Indonesia","Australia","Nigeria","Other"
"USA",0,19457990011,365276352,50656579192,675098981,3587953566,3934929217,3018466663,109575472430,772208271,429058301,7182477135,172532491,2790112451,1991408504,457245430,1120837898,886609477,81764687,11631439171,160739408150
"Russian.Federation",151880259,0,117787839,0,51570631,68694236,8983610,98629545,14766547,2765082,236789854,65281385,800049,104078661,17995991,0,24386524,0,26409,0,2456491028
"China",2840637652,26880079449,0,43307120549,1861522069,2075434361,158943622,10262931656,2170714375,5156770090,181354295,231100713,10295027121,234750804,73085398,7350026826,38149900,11343712595,13548022718,1370753063,174487644716
"Saudi.Arabia",169618269,483749411,36613138,0,3293420,15921194,116407180,24748224,1332643,3250876,32493546,23495653,78161470,11290058,15167669,74822864,109118196,5686374,360402,0,990339576
"Japan",3549373779,19462891294,1116462437,49012861394,0,167025357,2777656699,8926586552,1643055813,107998295,30487910,26325886,41919826444,11177584,78940300,36779398913,48017788,15032952490,31368316234,3395263098,65759975110
"Netherlands",4501910929,25437746351,53809661,4474991621,14962902,0,2458992148,797680596,229689947,155585220,7824716972,15277939643,952244208,11796769543,2933648628,703556010,569959461,42994154,234695305,4508743829,41759814876
"India",1572219700,312981538,553753166,32933977830,221740258,123880171,0,692826107,175927475,566930408,24969747,46682796,14104323465,5897473,64073969,13471113926,11468175,6552561645,5445138704,13618745751,93475047295
"Rep..of.Korea",1741912707,8537558197,1343571635,36127245880,3395019487,167865931,2615171067,0,1592390839,1912917558,50024232,2313963983,17542526816,118604931,63554181,25460836973,347251266,8644931195,8313764287,2225667666,57712629526
"Canada",23729643861,271359724,21923093,2601453052,68532609,1716726855,161646605,47514660,0,58450697,48458595,1690108085,34071768,187806115,63203073,150527745,8770154,3184,4430,1109480966,18256367297
"Singapore",3767205573,4837839868,4115606587,9540462465,2981599891,3387625569,5948274543,7435882587,41643126,0,20130224,236461816,15329377654,250213926,197029961,7416981380,43529033,7997411322,1185462681,514,37591004306
"Germany",2805970438,31709237880,186789619,1728163264,86568076,27679652041,79302306,49981691,380479932,7014377,0,7562241068,153434362,6286315156,1266216879,218691694,358704541,9740764,830096903,5206669770,39460815561
"United.Kingdom",3089256306,8113189849,10676964,2388958246,160577788,9493896022,862875353,347076084,1362293590,341350304,641174930,0,433082350,3249813116,1697542860,3322075514,149514743,42899,298074929,4881517708,47310100487
"United.Arab.Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",3160017539,8653269853,2253450,363778,2528262,48130964645,772234198,370012238,193014548,2661788,3126834449,5438620311,89949577,0,4029396122,1328889194,278752059,1049,281766360,45362845,15744900455
"France",7213840636,12015610838,32217824,7723375714,95311015,3993609448,947563676,572601617,540632899,645468992,7018247029,4063927270,1293006681,16888028581,0,971245785,1384705812,1232382,585126759,4955818843,39230683367
"Qatar",42598693,130991,18659210,4630388,1443501,1402780,12164052,5377746,292112,1343434,5712457,1253423,71077047,3313804,1915148,0,1569393,37430,32828,0,117576091
"Italy",1622490443,23215814726,83656364,6225397909,16951033,1207168200,656483465,36921849,367123722,45343554,2373283409,458970194,444334575,254398069,2346393219,2286020308,0,340307532,166957657,2412731304,49328490958
"Indonesia",197880447,528683601,317239168,5557472667,235921533,126878840,212613337,2799636442,959651,15434667509,10844178,619970,1392355608,2712374,40465308,1271855108,10620827,0,278771727,3091955282,13572720437
"Australia",296887929,900884500,128796243,39789091,3285692804,14368539,12732414,3471761491,3781518,8601219655,16180590,6068372,3280408068,15992246,6862145,291883387,1245489,2493265684,0,1804439626,11818889044
"Nigeria",473797654,13541152,8680900,24065754,160125,1386586898,46695416,1032932,104831,30239692,26749579,164177796,57357775,1195914178,415327016,0,62904255,318997,0,0,2705878315
"Other",72089744660,165165381192,4605337423,53877036553,1493666225,15424297844,20929931732,7158393651,2048695931,23300671380,16507067255,16015219193,39034964657,6547396471,6830159950,11025311272,12616751849,6881938364,4675288936,33919465385,291041038673
