"Country","USA","China","Germany","Japan","France","UK","Korea","Netherlands","Italy","Canada","Belgium","Mexico","Russia","India","Spain","Switzerland","Singapore","Malaysia","Australia","Brazil","Other"
"USA",0,466695794132,123248179842,134003646422,46974295159,54298980269,69517887493,20797559848,42113829608,346794030210,20884607343,294059524274,23656311165,45243931621,14415944797,31463621959,16425445273,30420356302,10448781104,30536537877,476425279826
"China",159841403130,0,104991831574,162841942576,26650733234,23604068762,190105246905,9336625651,19183248459,25188680502,10042555533,11179363547,41619136486,16358784649,6201199769,40380572836,30809931905,55654135835,97674906577,51675122593,562738864768
"Germany",67527692857,107581866749,0,26501029538,88573414377,50627449382,10661735854,107892035796,64117179198,4819210861,51025966399,4942921574,37043326030,9597723909,32956953392,53868637581,6691809389,8240827724,2390380413,11937280406,415844215734
"Japan",73045283419,181294159260,24121795630,0,11469356772,6384287595,33385306766,4295146731,8607391395,11250090632,2523377823,4278227261,24755659661,6987496819,4096958082,7216047820,7883743822,29181375601,48117721957,9685505633,287153835215
"France",41858288400,56416479642,112991127387,10361846526,0,26020527677,4030027181,28462992398,48083241037,3960848776,52914030264,2308688888,13680572279,6879908431,39270633092,16848155126,3698030970,2426517788,1166260701,3786093731,167276183723
"United.Kingdom",58616731983,64147253700,100307055626,10491214183,43522704454,0,6200577178,53552199235,28451179237,13733558817,34027390159,2042986863,10114257291,10721467479,22037264389,10638131256,2137150636,2784646329,3231334299,4224311627,190949897639
"Rep..of.Korea",45531184073,90071153077,21285205314,53775886582,6824707998,7441595188,0,4580225025,6260729919,5442722754,1834794609,3270515885,15673983221,5274759941,2891623163,2770943352,11306680589,11100597225,20441084447,4906053433,186960283309
"Netherlands",36214005354,47026705977,83336332641,11055992524,22973618478,33764989323,4223867764,0,10720606328,1793293760,49184570139,1948934562,24155708182,3573513958,9063516192,2821676085,3554640676,8583306241,1294779936,6163268993,138639158478
"Italy",16596595372,33277791411,72541468674,3592468740,40703758790,13375027961,3111805264,26077698978,0,3284129983,20075772182,1597051236,21469506276,5523436145,22625643529,13995658206,303573725,905444553,678015991,4118770036,162208698152
"Canada",251030537903,53006331517,14435524241,12013331488,5349288524,8284900183,6560294363,3321851909,5797526817,0,1867318980,26008753258,656524791,2869219876,1989034420,3519794029,1044216917,2186860517,1301973699,3132975713,49881169720
"Belgium",33275898670,18108907256,59552294343,7357521571,46132435626,22140230635,2840149962,90435663666,15726281140,3554920473,0,2480817645,14059088327,5427422188,8233218967,5826968559,5652283349,1122876415,1393408966,3133167794,103185992474
"Mexico",195857558394,66255965394,13762327199,17544577199,3791300180,2513361108,13771521588,3688029239,5217244900,10044921381,941963221,0,1510510579,3726519573,4753243129,2009400338,1199909809,6560586909,553533695,4472973168,35011122303
"Russian.Federation",18594394541,50853009516,32947335001,10917410197,10551969429,7777965045,8972462061,5264872694,12676960247,1496714757,3573503764,783090415,0,3170706499,4342490301,3271954306,602259699,1458930490,672592058,3968954236,101508844295
"India",20439727271,58230546312,12706867412,9963998207,3383505861,4791111196,13437254154,2782976934,4334288262,3747635639,11293119148,3445596816,4207628768,0,1739320369,21133061464,7069416667,10928502526,9934691316,5544022620,233254288682
"Spain",13681326213,26227844843,42444331752,3510972384,38490084264,14671869513,2201979937,14061348957,20628388820,1342308363,8805081227,6805692688,7958305381,3484303868,0,3802005226,562993365,750469255,817040530,4023923976,130874492292
"Switzerland",21316868535,13284726004,59376749073,3985161403,18116604411,33710367396,690126082,6088656677,22592012039,1562200796,5025630340,1945595237,3314857936,1777035548,5360355453,0,1709770965,712680816,597449181,1747694970,67232174504
"Singapore",37902801918,44418931991,10647100461,20119356953,8106877983,6191887141,21600974993,4705698339,4139783495,1179914626,1643325570,2828428760,7931170175,8276042213,1179361478,4012095318,0,39036489401,4682096989,2223706909,101895640400
"Malaysia",16009272475,35322308902,7083009400,16731371543,3812987889,2171451301,9667998007,2511507339,1781912608,919523685,720532998,425600928,2064232859,4079513922,716974566,2262637155,26200003949,0,6185832218,1818784703,53033422959
"Australia",23742715615,46208431240,10635477609,15273051063,3808600101,5468813198,10270899259,1753769037,5394892839,1832936723,1570195964,1773852117,1179281490,2702123093,2733141429,2537982301,11182728700,9890985977,0,533711907,53386680795
"Brazil",35299107106,37340607027,13837218760,5902046194,5705140116,3257372014,8526182634,3167946493,6309816035,2714971800,1849803907,5362994719,2940541102,6635259191,3910201058,2789142166,804031888,1899966080,1091545812,0,74783022499
"Other",267285436475,434323864445,441517787801,132802277998,127222800474,114780491914,95691326974,100957204082,147967601917,23927731394,73614758942,27233639276,200780533743,91190684572,94517068357,57189781071,57881823302,48641009611,29491489585,62943037957,1231608590179
