"Country","USA","Germany","Netherlands","China","France","UK","Italy","Spain","Canada","Brazil","Belgium","Japan","Russia","Mexico","Indonesia","India","Poland","Australia","Thailand","Argentina","Other"
"USA",0,1769826875,2282477777,6941850655,4626670331,2598807953,4286010181,1833495306,26125071863,4293627141,701253423,771442731,389240497,21082271992,3561940501,4381055195,442004926,3856328336,3441867950,1553863780,38380351888
"Germany",3373804179,0,20457222604,2314282451,9041962529,2060323239,8140608280,6000198753,409971929,4654482777,5437818420,109005846,330804905,239307622,1178677492,882537497,6359556751,256879657,575484623,1007491441,33389495226
"Netherlands",2475517666,12413199322,0,1110003962,4658661066,2768872305,1732671584,2303419049,276255808,4461607931,8491261262,63430598,188814297,189510199,1344752173,595168072,1402226838,443333195,610121196,1449157732,19075670720
"China",25763830711,1226726078,1227953747,0,2472026236,396222189,470418498,676141124,5234443748,21256707939,195603414,488005455,1546032027,165747959,3887410217,672754146,238718910,4691568490,4849080693,4453295933,26604803187
"France",1295489814,7296324173,7237427439,746852665,0,3224649128,4752740146,8160896740,300060909,1630409083,7531573652,63247178,131276157,133724653,247849704,684002045,1849406739,299813725,384908153,360192252,16321926145
"United.Kingdom",2067328512,6377040698,9900368526,1056801628,7257558373,0,3960602312,4197021145,561063719,1397024693,3822896255,54008140,218185493,215583987,326315604,858821017,1940776149,664434481,1187601056,826181124,22307242514
"Italy",1234069204,7821929513,4284853499,519732863,7142208223,775740449,0,5965368835,752761574,1250386169,1513020798,11130539,209701913,139945938,1364630218,526278293,1571661706,174685748,426838784,990327243,16515993976
"Spain",2005864584,3236987429,2744325877,824493333,6272139687,1506607502,1554353923,0,313544273,1868188642,987302579,10610821,167339441,243925501,989653343,353110305,589897511,61512559,125145935,1280966856,13524806274
"Canada",22142849170,352498710,309071447,1148184535,802145724,453253252,916370238,315177237,0,775072975,216377416,101937395,42895453,1663742767,179649245,484326054,81173850,499865990,605201680,241829716,5869789998
"Brazil",1523367212,168324515,280939449,631552151,209904667,162503567,243940612,311368216,172684590,0,182888930,13424288,519092,69385567,421799727,59656669,18139504,42242963,76684850,2728650439,4591998759
"Belgium",716389903,4815826446,10946049754,330112738,9188223318,1109646756,1348815879,1285588048,443547374,1414337249,0,16804761,139390373,81468606,157804130,412797648,550343612,425129880,110478902,168956051,8764321639
"Japan",16298223414,683512128,1972936304,9695629107,1871265313,396014418,1078952544,838879154,4202840564,3064932108,249863134,0,1185041486,980231968,1240263936,868256580,291223059,4025272039,4039011280,524782114,17257427044
"Russian.Federation",1393861659,1519860087,1551370819,1916667111,1290681672,564279206,1300661805,959598291,485823269,3593949648,453598460,35814766,0,80780630,817311669,666662094,1158550894,200431185,241537292,939258759,20503727215
"Mexico",19577281647,92953665,180050834,462671186,173466136,213906453,118086623,327121494,1897572236,197934811,33438804,12503680,128543907,0,71136989,103419140,36364257,63276403,72953187,162344883,2881738275
"Indonesia",2780670041,111334251,168777259,1678272384,232635763,27879833,44691586,17193245,589667943,1465151980,124721342,45384949,87761117,5910928,0,943214391,44658483,3136206989,1351437769,1363269482,3140999476
"India",956116480,61473897,96675006,319026569,75017440,233831389,83345507,56998708,1020136391,955255649,20758371,6441427,137470376,23999736,4288735748,0,8459615,345350263,194567821,1577821053,8933850447
"Poland",327606491,4245901876,1549039275,403759311,709215784,546286248,739999555,976572331,49565550,331874882,654458480,4395710,214735656,27219694,105657874,142361024,0,13156898,57482917,791413280,7256137940
"Australia",1536647844,331954617,428430236,1022894055,505828558,487174685,584912059,189559958,207128149,129603137,115805226,84103820,10063211,199950783,261925759,241209354,64522129,0,866304207,416153409,6538571202
"Thailand",1688281438,202349707,222666924,1478616940,258393493,242382099,101581015,87183818,139363269,1436594134,112065420,293264624,45137510,16374647,614166198,412617238,28814603,632687010,0,580916680,3913362924
"Argentina",137341181,31761257,38734828,47556885,31629383,25476441,27991887,31698931,10874186,488798219,6516965,1466067,573181,34335276,21679385,18663574,2691624,11994731,26678693,0,742312483
"Other",35571545311,30827259525,21146759758,13321803875,20031843534,12912626026,13366554133,15250737255,6549607187,18796480844,6972865025,969133201,13372684628,2380954531,10633477439,13686130182,10333228364,10816479506,8503706099,14013274958,148985235386
