"Country","China","USA","Germany","Switzerland","Japan","India","UK","Italy","Korea","Australia","Belgium","France","Canada","UAE","Russia","Brazil","Netherlands","Spain","Turkey","Mexico","Other"
"China",0,11224543222,7397614151,720314059,20529659233,7631303492,1781704649,1633078151,21260674293,65821982286,3123581213,1717639050,3552392460,460929160,3596540309,20489605171,946598280,1336638405,2251101112,2740550751,100958008907
"USA",34329273781,0,8270965602,2694979814,7478823167,12736120322,3845442057,5370665585,7773399916,2244840107,4679066349,3200206654,32975609117,871601628,5790637878,6263800273,1207660452,1498968126,2487580357,20092820313,46165885644
"Germany",8391224499,5144379215,0,8266809446,1351188325,1185677866,5129615214,11345530168,809272566,699737480,8215689556,9670489416,1662171442,586457620,4280366504,3939532704,9249498390,3778191602,1923098895,210923274,54691121054
"Switzerland",759510885,9931735431,10569764704,0,1137812507,344600143,27594516199,6910091058,61103859,391247178,1530264548,5929478800,1001234726,3173388801,2794219621,938383024,393336880,644937259,2345534153,665484087,24366635954
"Japan",13512276709,4552628305,1075489696,384049163,0,1192348253,597024278,491942442,6500000060,13122689681,250526809,865953671,2098113126,787944162,2495129677,5681569433,91224303,271725754,42232144,642984284,24902291060
"India",7774921317,4547353900,1814978985,19492018576,2172142435,0,2069595354,694974565,3040314816,3205936452,9879539201,503555418,1039162674,10948943400,2240264605,947948116,404355162,250220216,290991666,85316281,22252300493
"United.Kingdom",5972281427,8189558554,9055531015,3874408305,1052109059,1517052559,0,2978696900,521716056,1470095635,2315871459,4157068929,8528253542,524350456,1104067123,1472622444,2254356632,2857242272,1305034249,232816831,14954286014
"Italy",4094954328,2041909162,9075400212,3531011085,280123599,1129328145,1576912201,0,626805259,56364377,2068669434,5066588920,257492183,428952723,1781992069,1204895176,2136096068,3011157012,1103081916,284481728,21756851686
"Rep..of.Korea",17972370030,4686921318,1671859995,473392069,11701164929,1209961661,902017477,722405154,0,8406058604,349660761,757359634,1332248814,780009143,1741786610,2609134233,396403247,337139377,134366725,1466289621,15542652271
"Australia",5365928155,1649422663,651618529,386028717,1453896967,553808309,339211741,527173587,622427318,0,78457458,186105341,233239658,130057727,7560111,40581455,85451575,189136904,139112897,148114931,7650292324
"Belgium",3479373378,1552355485,7103501172,727274860,260728942,3122696995,1966503893,1297462226,301872124,634013966,0,5482264047,1299857563,2961118116,5024193087,823986522,6134161498,845599420,587381174,567965410,15108737099
"France",3806043413,2177139521,11900543217,1745558802,361921093,546792833,2654880270,7766700917,192439145,92080348,6717534339,0,843585848,159578389,636136642,1014598694,1879832961,5029810473,688809486,62747637,11310780461
"Canada",5934905777,27189068672,1054316931,149385095,766787379,689897558,1614261937,651924203,835154036,309161211,134769865,357113241,0,23205228,187845456,550063743,105606870,249021333,636387635,1488271753,10739559927
"United.Arab.Emirates",3405004148,2282990607,708119825,4418282282,693562115,11771167055,1776376002,1344191660,951155591,176296920,3780703562,670386277,388676440,0,1797856501,604053849,140118824,307671751,2395513552,132320015,26399537615
"Russian.Federation",5355788144,727019177,2451497389,507849582,354155361,406462108,350218122,1102879582,765714615,13246474,442670774,488833157,94786055,46146759,0,108036396,218079088,498850427,695721676,53067101,12488355858
"Brazil",4068014331,1499409105,957301038,104608666,511540988,331500525,366735876,644065376,611694979,47804594,172777752,436301039,158073067,49786063,617596172,0,90463507,412453527,306163244,398294231,6002277920
"Netherlands",2506685555,1115264892,10491479155,116163769,422571519,407236440,1668280884,1407310402,191627992,195300717,4698180537,1590289576,290422376,64031669,1685775921,850175977,0,586679834,430937928,100083028,11110633985
"Spain",2740774341,1062280068,3807092982,154278261,110662843,422411900,1691548018,3094056435,262306283,332441302,811533014,4153888872,354281721,69831842,556526250,780580726,1216344310,0,585987116,120302931,10185641392
"Turkey",2828454901,2106665356,2445335689,2865628656,315107027,505042920,1655045054,1471881874,907777519,345658153,1065369242,1314642117,224906102,2934257701,4445576149,574855477,787045925,1417631552,0,35116823,13220099455
"Mexico",4093081772,20458486252,1223374131,97315344,2218378275,813858980,266745799,650630373,1352259732,66463579,136176407,292459702,1760587926,114799311,327953013,440496457,160463432,617812279,145766529,0,2194334455
"Other",62618851060,17365745237,49990863074,12816382687,25421751733,11018660196,10522532972,21511436801,12293355986,7938773403,9478206563,10913433884,3957786234,12916678081,18937536927,9057370091,6935749162,14515610841,10444426762,3198332372,134201251697
