"Country","USA","Germany","China","France","Belgium","Netherlands","UK","Italy","Japan","Switzerland","Korea","Canada","Spain","Ireland","India","Mexico","Russia","Singapore","Brazil","Poland","Other"
"USA",0,25441233815,33022407586,8378562864,6295520623,4546985384,9952581447,5426036787,12153362171,12147524822,5843568364,34025254470,2829611539,24466194435,8914837030,10492031052,2455292879,5792992575,2268804837,342886253,38518721642
"Germany",16309809178,0,7642710494,16159289348,18090142773,25905954954,10474376530,12191221325,3765021192,19185083371,1464033936,520602291,5152006364,6685303655,2029362903,356590057,1069556837,2832369195,557852182,6489915753,34756439730
"China",21005576791,13423363868,0,4786513169,2739067900,2025705605,2668361373,3197533324,27587007707,2489683278,31816401910,2549459055,1469384540,1489215667,2226646491,453239015,2110639584,8906468985,800682080,292541407,56581990265
"France",9914640641,21428800980,3758149079,0,13152447107,7335701233,5806997428,6952416997,1718355303,4802697050,449302652,706103384,5976236977,4934414587,754165074,182580544,896329104,1331695298,208334675,1742544935,15176229956
"Belgium",18484906883,15764887017,2676597184,11337968556,0,14533187656,5216606575,7028230203,1903946869,2950647977,614356583,1174523972,1698732269,14827959999,732443637,514332867,823797988,4679210044,354839643,830929646,11507745218
"Netherlands",11063235980,17441549868,3097596318,4662363748,10747960961,0,7845839788,2261705857,1489861784,1271615886,464482747,363144163,2037131295,1054749543,685728157,149226243,352488703,1668413679,400842930,843787344,10201396638
"United.Kingdom",7109172717,18850106869,5003558503,8747522103,9630986980,12694962633,0,4971571232,899519220,3429782740,492728355,288216413,2618900777,5099371465,1383075210,212552532,208205609,315765590,213752668,1405096789,10183313492
"Italy",4253650930,15861239750,3148578596,9807916322,9970547292,6690182250,3151710588,0,738026696,6057389616,880810916,94281327,4126686248,2263196790,906796907,192046528,1170110929,64175860,173269247,1197132068,11693346571
"Japan",13754379797,6831278184,14286454426,3956066328,1207888560,592376598,1757510711,2088604738,0,2708230382,4235241700,1022174903,1402734745,1382387996,1045510108,223713585,147269111,1895935772,258512529,94854581,13842029708
"Switzerland",5292257929,13652714366,1300535968,2689707854,1311287089,1211983851,2701543945,5075440948,918160858,0,114421357,109369791,2319883040,7248262263,595314047,895975820,332388737,678398204,89264100,230005988,6086496870
"Rep..of.Korea",7751419974,3679426609,9339338159,1265514378,725845623,452202168,858519899,817872516,13261827911,593750775,0,682645935,452200848,309253842,704699923,104517802,341829549,1490182694,124564646,61730156,7301944437
"Canada",36925010563,2773607929,3749720746,1390465787,897359053,382068249,1290426894,935082272,980947489,2115712960,523404676,0,538141597,850166403,536528996,785148208,252492428,332262308,954928229,114506558,4233048433
"Spain",4382205476,9250348222,2653569671,7148617449,3692279590,3564966567,3444667316,3981271642,383983411,2227089543,509814668,102276995,0,1937512261,744784628,269063259,161241739,321683211,384736233,1097645989,8932801788
"Ireland",2968775669,1576635145,438552727,1252709504,722670030,1302889302,3456701068,353906760,384348174,1407821642,148244856,175386624,226282530,0,220800366,35166062,151999175,79416417,30009105,71358086,1245968136
"India",4086794754,2746635463,13192886083,810997687,758096495,732734986,591079823,785961793,1553029065,539685092,3332220246,425150653,533350216,107555761,0,93003736,787081177,2723173461,270407740,117524656,17340113754
"Mexico",35131096360,2885560267,4688073507,1324932938,346292179,334276723,551864364,814472084,1199002613,819560037,1414111629,1553837029,751281959,1248664619,688391363,0,327747026,108978682,778039823,99415431,3470453091
"Russian.Federation",2457631213,7933084400,4475629795,3692262189,1371752901,1391859903,1364161667,2147827918,972761001,954162588,1213123478,140106563,970913178,716573753,972497309,52809660,0,120267277,82790690,1383280426,13515371522
"Singapore",4777061888,1495281226,2573062871,2018657013,413947973,511017575,828819410,418134211,1993167477,856770938,652155129,155568611,261982937,163750521,640762674,79432551,21026725,0,99559150,14559943,9307827071
"Brazil",10377374298,4933467294,5726129737,2305343902,967867308,551280966,1035838230,1258984783,910771578,1706040809,933873587,1082704997,1155039997,383291736,1468618143,1176379749,1887858920,242071038,0,138204925,11771427310
"Poland",1072589668,10514709063,1343166172,2573633097,1882026331,2166987616,1855433148,2068646820,461606391,728687530,485121074,64733553,876866746,647604990,503561461,36116823,1226633435,312730412,113592279,0,8613497430
"Other",43618048971,73141873188,52850757363,28949519411,19463945212,18854728295,17123634211,20459028248,16307881740,15480366172,15376982374,3103324357,15769673425,6801125691,15548935738,5009706519,14051266478,11942484746,8792719600,10481273990,154148339786
