"Country","China","USA","Germany","Italy","France","UK","Japan","Canada","Spain","Netherlands","India","Turkey","Belgium","Viet.Nam","Indonesia","Korea","Poland","Russia","Austria","Sweden","Other"
"China",0,12663031940,1479491888,4072253451,1379980736,1400498729,4886011980,5425504739,571487140,541494733,4284938269,577109807,365269645,4219306145,3507097556,3460258926,51154983,4081466823,521839140,839165479,33090287113
"USA",78962238632,0,1969886402,5384029552,1697778492,1129453826,1172013820,20798123591,665733748,409150472,8100451048,1333145307,304433436,14625370549,7495258074,2049532478,175612160,175733405,254131915,272030261,47975414589
"Germany",20082959281,1478592188,0,7133357157,4040891112,2343498282,341587366,196193466,1468861818,5901700197,3285107622,5674392744,2271449431,3053605457,1634581776,388051065,4823008705,590456029,4518059128,3778466352,30850699370
"Italy",9278358215,1293525137,4577055997,0,4434360006,1293727289,214685465,187596695,2746401807,1769825150,1454426048,1906165124,1738906188,698101540,474282214,280611365,665096042,392912423,2181245245,1050752980,20063025705
"France",14099961792,632641489,5379434110,8144271186,0,1355095815,241280474,121400244,2965433600,1280177305,2126025257,1968467483,2794820840,1491590517,596195454,240242846,934128172,134909615,676260178,909399858,15697669757
"United.Kingdom",16143867533,2579983694,4752987132,4332277528,2734192880,0,104504608,445946496,1509580986,2786893039,3497551927,3325189004,2534559968,1350787366,857160922,260961922,797801336,190464405,499501334,2484916069,16481945216
"Japan",37406870199,3044215767,484386174,2521844524,897983625,334660593,0,1652155288,306208205,83343012,583306347,197111042,61002741,4941845535,3352564820,925457119,39140478,528884846,275283641,428976092,11373481865
"Canada",9490037321,12054032257,284842157,646622303,277227495,205351816,88066195,0,115218716,77412998,674666396,205681745,65009065,1050567862,481203869,193701992,348097167,29699963,66656054,36262616,4492124802
"Spain",7545277556,453914950,1767898707,3112305943,2513119908,595114682,36887432,60241342,0,835864895,1337058167,2201346206,685479878,1194608950,315141460,156307389,185135151,66995321,276856959,463371261,11322073584
"Netherlands",5724287447,868347457,6383768694,1553173037,1223350825,1377120564,139088885,99381262,787726200,0,781527477,1252486579,3506584855,587989710,420018169,66843740,790459039,130159051,339172204,1227791158,6264094250
"India",3637018550,1318238122,441817416,364015071,162657386,267650975,176797760,371205606,142643241,134751292,0,68651351,118425040,239094932,442121917,436220421,12773980,275858371,72336836,269267787,5333690592
"Turkey",4206488088,1656919840,1193287879,1265293532,241943439,238831605,60265956,119495186,409074415,122864427,1148485297,0,115954537,639793975,953137625,407231130,135223673,407745991,250304478,323440738,6419643731
"Belgium",4418619179,817515994,3685473018,1294575599,3574119155,788196474,59595052,113534812,555319268,3752944702,650438235,888072650,0,1142387065,873103148,90158987,335832858,104475251,242013029,469398924,5987792466
"Viet.Nam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indonesia",3320951580,855470890,191195055,117367369,102142234,84369305,497136770,536754165,52148296,36819434,271279720,55436018,32999234,384301517,0,1669348000,3912564,57806954,52857347,177186589,3219805464
"Rep..of.Korea",9871877263,2097041726,264444239,1495912995,489271476,153028176,957646334,654760514,139490159,51687987,482997943,103076439,18127706,3688696506,1604916220,0,18359730,233848654,97576436,76115404,4911568640
"Poland",3878030298,262813325,4096585026,1168088760,455627789,426445793,50463514,28376069,209740151,513057173,515244874,740260613,399234692,361594133,184345350,136240815,0,184733353,463017098,601775644,5595759120
"Russian.Federation",8645617257,346616361,1076907634,1409532098,230071483,316582236,84699604,45098233,171004808,145535670,489727251,1212113867,146327589,642976713,272392421,236999383,620244209,0,182315581,239012598,6846869233
"Austria",2273308638,123163077,5946966009,1589809302,262143558,163119250,23248171,10612338,255918350,330573113,361863423,512589302,204431415,301463706,144775363,22143236,330162576,60444247,0,414405396,5733642005
"Sweden",1807633294,173544459,1354236128,421371010,186771936,406737371,12370661,13152251,130081734,483189108,314462150,366268531,299242208,152722057,56228490,40487389,629549167,134616604,72555019,0,4951301989
"Other",77392450414,24473981029,21988389371,19809456589,7317525191,7236120069,2708897340,1985102424,9377228671,3813328583,10893747331,8726498855,3532931469,5950217051,7020947776,3478406766,5356519238,5015677812,5970250399,7729687230,72052415934
