"Country","USA","China","Germany","Japan","France","Mexico","UK","Korea","Canada","Italy","Netherlands","Malaysia","Singapore","Spain","Belgium","Switzerland","Thailand","Poland","Czech.Rep.","Russia","Other"
"USA",0,313003832594,85367173019,111917774046,27482145431,204160794981,31028406438,50150787018,115825662722,21104928411,9103301847,25292423537,9785837545,5122848213,5670840023,15190076795,16278053967,3790069021,2915948117,953697680,105354821152
"China",86746479448,0,81250868638,107643007226,16217796375,7150883373,16230120027,123273452919,7242202219,9791229438,3356163313,37514558117,15343247493,1980594357,3333657823,36900485796,16188409586,1279697722,2401607253,538498177,94775305509
"Germany",39588615613,68932621596,0,20868821380,48059688960,3787583085,22912514228,7905384074,1760900213,24915173892,21018377023,6578464451,3554778964,16382503852,11150440628,21416731841,3707197276,25544399680,31957448734,766561889,125103809670
"Japan",31912423833,105224456801,15024539919,0,3858024169,2092492686,3294309962,12873822930,983401762,2384469277,1450542835,7588686473,4248643217,699563469,627072068,3365921339,10300539465,631973343,391524213,43814818,24247354050
"France",21374129544,33968771299,62127659991,7966565628,0,1647065926,10470714858,2812160831,1699077853,19071758867,7056057434,1869557850,1624394141,15047952016,6986541462,7590826522,1583910270,5433161153,6024681103,241356280,40741816605
"Mexico",82578821337,53057451594,9170468757,13963538933,1864847916,0,1347093521,10728857485,4263559124,3129682579,411717076,6167603582,1045492124,2489370106,393422076,1049629876,3843386703,668236335,913432906,647701682,17254859817
"United.Kingdom",35696252372,35961186479,60651549062,8205534740,19022780891,1332992502,0,4068207483,3281605581,12052812674,19846492482,1741250053,1213388096,10700571998,13011894051,3105528126,1713801186,6795347641,5939904874,741343496,41022644866
"Rep..of.Korea",21258455241,48094965938,15064184446,24681820977,3766318257,1250316327,2497363016,0,823564530,2638186772,3188860877,2864947698,7132175440,650819711,347477656,1613332191,2104552004,523955254,423694657,87737460,14567356942
"Canada",120818480476,32585414730,9839162397,10029314452,2451272043,20528650127,3848562725,4762777575,0,2634407422,571995981,1706999003,655984584,582063595,487068119,1002883610,1262825674,828861959,241711849,66091975,9816843431
"Italy",6004711709,16230475617,33051958682,2347030520,12040828583,531126599,5999681439,1278831456,490215639,0,9948810340,349746538,150192907,5925378886,4453661491,2936748330,541938449,5029698862,3277670719,299781780,25638325593
"Netherlands",16975788971,34563333487,29872393975,8921059599,7763405663,1168456594,7656855975,2283541619,523579294,3428954097,0,6368024640,1573684063,2219354449,10353684982,1164044021,2680932614,3668676020,5053363712,148492175,25785597549
"Malaysia",11556143479,21923286773,5328512111,9973437620,2888019001,319766403,1288129474,4135140738,259522198,1183755119,764333383,0,8706820080,171994966,169027299,687834206,6160068561,132451204,129137703,18838037,10508247032
"Singapore",26426274945,29312178767,7959329159,11979306130,3593363273,961585149,3912623892,11851829210,811416583,2182442025,1495409332,18473646593,0,306662706,478995472,2210251735,3806238413,266341477,272855468,10687558,20394381139
"Spain",4426420055,12438905073,24143518538,2942272608,17776631136,575785336,5227349886,1226177817,297325426,7817725334,4969148238,290443564,211783089,0,2214998208,1260473196,508411027,2906458199,3109085843,34968323,19318260423
"Belgium",10275465329,7200912229,26222137607,5115449129,13649227692,1234009254,8340812325,1627763328,479914970,4535954325,13913294538,611354246,711093028,3262688964,0,1878045479,811106630,2291299263,3039336336,103108768,20786470696
"Switzerland",5521030063,8236378398,24049419737,1877130655,4316993032,161799859,2909002768,490615771,325717802,5520275697,2329810358,390627508,395613909,1321420162,1224079530,0,595198018,1073627408,1737602964,103761276,9289000787
"Thailand",7647500483,22260779253,3586453271,20112843431,1226163172,391379453,1211503712,3231951647,336507638,1209459275,387214846,6664044690,3497311514,222803419,190569884,908667717,0,136657641,133863032,6265341,10094310819
"Poland",3285033094,15359691802,19044588116,2447028545,3324748588,294153251,2138548171,3292331891,221670480,5650226077,3154399138,820783090,591109654,1638880072,1430495151,770807346,576303027,0,3223941641,3736749280,15121842582
"Czech.Rep.",2497131890,14199439771,20287729764,2056337447,2175635297,435479975,1748383611,2499127264,90624903,2587148355,2878264158,803191162,605206527,1225600746,666869498,685147259,904785171,4294993680,0,226200288,13174651304
"Russian.Federation",13620476182,30439166527,19772286620,9417453008,4827869352,585100827,5117343515,6513086083,710470919,6692953177,1908954805,924860223,431275580,1735346586,1042509991,1430041532,1415146556,3116431389,3683238241,0,30071902891
"Other",144747993601,276182742737,214592936482,90932690654,55608747337,19092502981,49429611546,63557810356,8990792077,63214652614,32597865825,16475618058,17758399366,31392154965,19565476245,16134102777,31183015466,24217438384,25123344343,12896371660,269061308399
