"Country","USA","China","Russia","Saudi Arabia","Japan","Korea","Netherlands","India","Canada","Singapore","Germany","UAE","UK","Belgium","France","Qatar","Australia","Nigeria","Indonesia","Malaysia","Other"
"USA",0,436190884,13891708826,45922573829,510230487,3040538739,3247983916,4600493750,117044308447,170955595,429094129,640119412,5744288548,3233493489,1588931387,686027595,64275510,3715627756,799300518,39679129,141557561246
"China",2437941018,0,29745959566,37888902266,1708250975,9547371174,1238709973,224057080,1184678281,4772777224,213766951,12931228891,1127161795,285375538,76777668,7179832322,11905322604,2146943686,8371292251,5969221914,176235439014
"Russian.Federation",48789949,20140682,0,0,52526457,104824243,49072409,10629229,20429718,5843324,193698871,1119499,65380299,116644049,22251576,0,4183,0,876,8538138,3097296009
"Saudi.Arabia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",3483412303,1168472018,20355519723,46414272693,0,6780623595,104723679,2744289791,1291404989,187822731,22589529,40759519284,4767633,127024511,20063666,33222141022,29704269778,4275165441,12498943138,16577575812,42252012850
"Rep..of.Korea",2586598727,905697619,12381772171,35215745095,2832239874,0,176226738,1822806348,1408374951,2131548559,48598345,15276202024,2731712802,272627709,123708325,25348242522,8771386545,2963969878,7647489424,5257259114,47563642775
"Netherlands",3715850388,24799208,21649978035,4052238936,19980139,1188525866,0,306874616,240510857,211940335,6733941627,679899434,12448019807,11386897542,3075547600,889958852,208549057,4780096846,88172320,16331692,38591869569
"India",1537849168,828327117,615175180,27898482327,210362726,964780377,554814728,0,517270207,636313335,24873376,14423678499,57610749,9017054,26692209,15385475355,5487326479,15500787959,7378940692,2771660051,81948621761
"Canada",31901096765,98068408,77499516,2393908898,46278578,158254671,1875696364,1262069,0,9670167,131096117,385948,873043559,66735462,71064234,15601437,61962,357043997,5123,454426,9147196168
"Singapore",3336138376,4741065758,6931991748,10879349564,2908637341,8082316177,2269272316,5257699749,36766120,0,19353476,14096512670,129591443,181703759,120021565,7525664401,1784340105,782,7633737796,11695509935,22299975160
"Germany",1632492484,218068428,30005579866,998445472,65405429,64898967,25359282628,4774253,269371520,9537005,0,79184,7707121889,5860425591,1601093012,87076558,820790421,5053189227,9658798,42090482,34876206829
"United.Arab.Emirates",51143611,255191221,35867356,310021985,17038235,96447554,12022254,91691052,1309577,13919233,27694159,0,19321555,8816079,47081176,4328096,7496232,0,1733058,3054274,1903667262
"United.Kingdom",2974436134,9558130,7651991165,2425419444,175538416,820725645,6069125923,1068283653,628473066,294949827,619840850,591721344,0,2711181446,1603581278,2915241308,148708458,3955039439,83745,54987811,46143826496
"Belgium",1429265076,3292548,7864122860,91818144,996818,198550740,41156025518,138548001,43541782,29604894,1960469083,11303,4718464612,0,2900632858,1021785934,211857496,237298150,14706,126614058,12210692613
"France",6464247391,36701394,11640564481,9130371640,10476850,293552112,3673796026,1415579720,290620538,653770597,4858364916,962592459,2508190178,15731112864,0,704953671,472819653,5381686569,1971058,3748096,31609340186
"Qatar",41000567,24276800,642210,3847636,2803853,9385683,1130868,16108063,395110,776645,5983341,76206876,1009822,2637922,2007437,0,133579,43300,87711,8608862,155406645
"Australia",347031612,501144516,1106017323,0,2377791550,4227498957,9228365,308402613,3611273,7628307386,16374196,2150093666,6324291,16044115,6436951,111760826,0,1457012977,1865352038,5121496634,7601921176
"Nigeria",528637961,33366404,50587244,24605559,11505,1329409,1594231784,69495256,215900,911004,32695855,26631451,189183237,2365284670,416686118,6087933,29289,0,259319,1816119,2262558261
"Indonesia",72002336,253267026,412086807,5546609327,71244685,4110227051,4612247,399028503,898110,15055920498,9980565,1330915245,775766,3060900,42598372,1443658970,413307657,3286060509,0,5085977870,6226950468
"Malaysia",490065189,733169387,1597154105,1797780778,278232247,2052423493,735829005,1014003767,98974823,11917664561,12288159,2800407450,4054067,8426905,53572846,671555429,998042828,195748010,2126310389,0,6405494260
"Other",77331010999,2492079505,150916973021,53658067429,871160869,4707269951,14539566726,15936118100,3093093318,9491184878,17752897084,28254114596,15163865260,5896549114,8365672326,9718498434,4649875278,36465119423,4386304099,5139961530,314805903546
